Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR26436341_1	(1, 0.01180229013059206)	(2, 0.0002992656768454405)	(3, 0.016525076593309165)	(4, 0.001140950392973242)	(5, 0.0)	(6, 6.2347016009466776e-06)	(7, 0.00041772500726342736)	(8, 0.0)	(9, 0.0)	(10, 0.00014526854730205756)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.1173508004733388e-06)	(35, 0.0022787834351460103)	(40, 0.0)	(45, 0.0)	(50, 0.00023442478019559504)	(55, 4.613679184700541e-05)	(60, 7.481641921136013e-06)	(65, 9.352052401420015e-06)	(70, 0.0)	(75, 9.726134497476817e-05)	(80, 0.0)	(85, 4.3642911206626735e-06)	(90, 1.2469403201893354e-06)	(95, 1.9951045123029366e-05)	(100, 0.000189534928668779)	(105, 0.0)	(110, 6.234701600946677e-07)	(115, 3.6784739445585396e-05)	(120, 0.00026372787772004444)	(125, 1.2469403201893355e-05)	(130, 0.0)	(135, 8.603888209306414e-05)	(140, 2.1197985443218702e-05)	(145, 0.0)	(150, 0.0)
SRR26436341_2	(1, 0.03601787114866896)	(2, 0.01503186555988244)	(3, 0.00759074919915258)	(4, 0.00570475196486621)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0004912944861545981)	(30, 8.728582241325347e-06)	(35, 0.0)	(40, 0.00017083082386593895)	(45, 6.982865793060278e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0001677134730654656)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0001446450771419629)	(90, 8.728582241325347e-06)	(95, 1.2469403201893354e-06)	(100, 1.1222462881704019e-05)	(105, 0.00037969332749765265)	(110, 0.000197016570589915)	(115, 1.2469403201893354e-06)	(120, 0.00017083082386593895)	(125, 0.00020200433187067237)	(130, 0.00010598992721609351)	(135, 5.6112314408520096e-06)	(140, 1.2469403201893354e-06)	(145, 1.2469403201893354e-06)	(150, 0.0)
SRR26436342_1	(1, 0.011735774568793236)	(2, 0.00035098002060617126)	(3, 0.016816354211338303)	(4, 0.0009627976521546337)	(5, 0.0)	(6, 0.0)	(7, 0.00042961488861083263)	(8, 0.0)	(9, 0.0)	(10, 0.00015036521101379142)	(15, 7.671694439479153e-07)	(20, 0.0)	(25, 0.0)	(30, 7.288109717505195e-06)	(35, 0.0022535602415970015)	(40, 0.0)	(45, 0.0)	(50, 0.00024434346789741103)	(55, 5.1783937466484285e-05)	(60, 8.05527916145311e-06)	(65, 1.3809049991062477e-05)	(70, 0.0)	(75, 0.00010356787493296857)	(80, 0.0)	(85, 7.288109717505195e-06)	(90, 1.5343388878958305e-06)	(95, 2.26314985964635e-05)	(100, 0.00018565500543539553)	(105, 0.0)	(110, 3.8358472197395763e-07)	(115, 3.567337914357807e-05)	(120, 0.0002547002553907079)	(125, 8.438863883427068e-06)	(130, 0.0)	(135, 8.860807077598422e-05)	(140, 1.8795651376723927e-05)	(145, 0.0)	(150, 0.0)
SRR26436342_2	(1, 0.035951478067009185)	(2, 0.014929117379226432)	(3, 0.007550865252057357)	(4, 0.0053893653437341055)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.9179236098697884e-06)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0005113184343912856)	(30, 4.98660138566145e-06)	(35, 0.0)	(40, 0.00018642217487934343)	(45, 7.326468189702591e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00014883087212589559)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.000144995024906156)	(90, 9.9732027713229e-06)	(95, 1.9179236098697884e-06)	(100, 8.438863883427068e-06)	(105, 0.0003678577483730254)	(110, 0.0001975461318165882)	(115, 1.5343388878958305e-06)	(120, 0.00017683255682999447)	(125, 0.0001948610387627705)	(130, 9.896485826928108e-05)	(135, 4.219431941713534e-06)	(140, 2.3015083318437458e-06)	(145, 1.1507541659218729e-06)	(150, 0.0)
SRR26436343_1	(1, 0.011692451173638435)	(2, 0.00034593050809581167)	(3, 0.016554850395433165)	(4, 0.0009658379786035062)	(5, 0.0)	(6, 1.1069776259065974e-05)	(7, 0.00041234916565020753)	(8, 0.0)	(9, 0.0)	(10, 0.0001693675767637094)	(15, 1.660466438859896e-06)	(20, 0.0)	(25, 5.534888129532987e-07)	(30, 6.088376942486286e-06)	(35, 0.0022648762226048984)	(40, 0.0)	(45, 0.0)	(50, 0.00025515834277147067)	(55, 5.756283654714306e-05)	(60, 9.409309820206077e-06)	(65, 1.4944197949739063e-05)	(70, 0.0)	(75, 9.630705345387396e-05)	(80, 0.0)	(85, 1.1623265072019271e-05)	(90, 0.0)	(95, 2.158606370517865e-05)	(100, 0.00018929317403002815)	(105, 0.0)	(110, 0.0)	(115, 4.7600037913983685e-05)	(120, 0.0002540513651455641)	(125, 1.1623265072019271e-05)	(130, 0.0)	(135, 9.187914295024759e-05)	(140, 1.7158153201552258e-05)	(145, 0.0)	(150, 0.0)
SRR26436343_2	(1, 0.03636974989916126)	(2, 0.0149165235090914)	(3, 0.00802558778782283)	(4, 0.0053909810381651295)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0005413120590683261)	(30, 7.748843381346181e-06)	(35, 0.0)	(40, 0.0001992559726631875)	(45, 8.02558778782283e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00017766990895800889)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.00014390709136785767)	(90, 7.195354568392883e-06)	(95, 5.534888129532987e-07)	(100, 8.302332194299481e-06)	(105, 0.00037747937043414967)	(110, 0.0002025769055409073)	(115, 0.0)	(120, 0.00018763270759116824)	(125, 0.00018929317403002815)	(130, 0.00010405589683522015)	(135, 2.2139552518131947e-06)	(140, 1.660466438859896e-06)	(145, 0.0)	(150, 0.0)
SRR26436344_1	(1, 0.010214831721982716)	(2, 0.011692334167483788)	(3, 0.005930856377355271)	(4, 6.644852268126512e-05)	(5, 0.19690912221214896)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.008637265618796916)	(15, 0.040386109173463504)	(20, 0.00041119909329818185)	(25, 0.06303046279102921)	(30, 0.12819509578111554)	(35, 0.021012325784025468)	(40, 0.0415097406628816)	(45, 7.296308372844798e-06)	(50, 0.21303656954055486)	(55, 0.021454273605466354)	(60, 0.04268757330021226)	(65, 0.039382085024871685)	(70, 0.3624162360997834)	(75, 0.04220758044225583)	(80, 1.563494651323885e-05)	(85, 0.08413972524343677)	(90, 0.10630747357479059)	(95, 0.0795315853411015)	(100, 9.902132791717939e-06)	(105, 0.14735572273308975)	(110, 1.8240770932111995e-06)	(115, 0.021155385544621604)	(120, 0.02105375839228555)	(125, 0.0)	(130, 0.10461082129566228)	(135, 0.0)	(140, 2.345241976985828e-06)	(145, 0.21343004902780469)	(150, 9.771841570774282e-06)
SRR26436344_2	(1, 0.0)	(2, 0.007147776380969028)	(3, 0.31539726145052016)	(4, 0.0)	(5, 0.0)	(6, 0.2140437206784493)	(7, 0.0)	(8, 0.31819591687638993)	(9, 0.20973629291405205)	(10, 0.14701905021817135)	(15, 1.563494651323885e-05)	(20, 0.0)	(25, 0.060853817653944486)	(30, 0.060853817653944486)	(35, 0.060121841574683026)	(40, 7.817473256619426e-05)	(45, 0.10579933781311032)	(50, 0.039503516442791174)	(55, 0.06250643150039384)	(60, 0.679008007463915)	(65, 0.0011152928512777047)	(70, 0.0014324216830545662)	(75, 0.04231233458389453)	(80, 0.10557680040773856)	(85, 0.04235011903796819)	(90, 0.08241466947814274)	(95, 0.12770441904304172)	(100, 0.12806636805482322)	(105, 0.27421455175220716)	(110, 0.10370842429940652)	(115, 0.0019332611363619841)	(120, 0.06344348596142062)	(125, 0.1284408250238153)	(130, 0.06413168419044502)	(135, 0.0002905494227043553)	(140, 0.045861467442399745)	(145, 0.2534758375321634)	(150, 0.20441780527513193)
SRR26436345_1	(1, 0.011899989145965573)	(2, 0.0003133355732694099)	(3, 0.016879545126916123)	(4, 0.0009670572728962362)	(5, 0.0)	(6, 6.762638272001651e-06)	(7, 0.0004215377856214363)	(8, 0.0)	(9, 0.0)	(10, 0.00014922888453550314)	(15, 4.508425514667768e-07)	(20, 0.0)	(25, 0.0)	(30, 4.057582963200991e-06)	(35, 0.002311018918818698)	(40, 0.0)	(45, 0.0)	(50, 0.00023804486717445816)	(55, 4.508425514667768e-05)	(60, 9.918536132269089e-06)	(65, 1.0820221235202644e-05)	(70, 0.0)	(75, 9.061935284482213e-05)	(80, 0.0)	(85, 6.762638272001651e-06)	(90, 1.8033702058671072e-06)	(95, 1.668117440427074e-05)	(100, 0.00018304207589551138)	(105, 0.0)	(110, 4.508425514667768e-07)	(115, 3.2009821154141156e-05)	(120, 0.00025111930116699467)	(125, 1.3525276544003302e-05)	(130, 0.0)	(135, 9.197188049922246e-05)	(140, 2.0287914816004956e-05)	(145, 0.0)	(150, 0.0)
SRR26436345_2	(1, 0.03631987594616354)	(2, 0.01525200351612106)	(3, 0.00762600175806053)	(4, 0.005353755298667974)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0005040419725398565)	(30, 4.9592680661345445e-06)	(35, 0.0)	(40, 0.0001726726972117755)	(45, 6.717554016854973e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0001519339398443038)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.00013840866330030048)	(90, 8.56600847786876e-06)	(95, 2.254212757333884e-06)	(100, 1.0369378683735867e-05)	(105, 0.0003593215135190211)	(110, 0.00019386229713071402)	(115, 1.3525276544003305e-06)	(120, 0.0001771811227264433)	(125, 0.0001848454461013785)	(130, 0.00010053788897709123)	(135, 5.860953169068098e-06)	(140, 2.254212757333884e-06)	(145, 2.254212757333884e-06)	(150, 0.0)
