Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR26436341_1	62.77702035157895	49.0	151.0	151	18.181818181818183	32.07852
SRR26436341_2	62.68778525441271	50.0	151.0	151	18.181818181818183	32.07852
SRR26436342_1	68.00839521865794	49.0	151.0	151	18.181818181818183	52.13972
SRR26436342_2	68.66405653853649	50.0	151.0	151	18.181818181818183	52.13972
SRR26436343_1	65.57925928412354	49.0	151.0	151	18.181818181818183	36.134425
SRR26436343_2	66.05380751705272	50.0	151.0	151	18.181818181818183	36.134425
SRR26436344_1	65.20969100891065	49.0	151.0	151	27.27272727272727	76.751142
SRR26436344_2	65.32581770837213	50.0	151.0	151	27.27272727272727	76.751142
SRR26436345_1	66.22838860714876	49.0	151.0	151	18.181818181818183	44.361385
SRR26436345_2	66.73790244340412	50.0	151.0	151	18.181818181818183	44.361385
SRR26436346_1	67.28615560224048	49.0	151.0	151	18.181818181818183	45.899705999999995
SRR26436346_2	67.45511659648189	50.0	151.0	151	18.181818181818183	45.899705999999995
SRR26436347_1	76.14234631109962	49.0	151.0	151	18.181818181818183	106.619147
SRR26436347_2	75.94398145915842	50.0	151.0	151	18.181818181818183	106.619147
SRR26436348_1	66.77713596277671	49.0	151.0	151	18.181818181818183	52.885416
SRR26436348_2	67.0027938266311	50.0	151.0	151	18.181818181818183	52.885416
