UniqueCount	AmbigCount
0	0
0	0
3	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4126
0	3820
0	3407
0	2817
0	4161
0	3812
0	3829
0	3807
0	3864
0	3718
0	3708
0	3662
0	3544
0	3885
0	3724
1	3316
0	3702
0	3772
0	3655
0	3558
0	3750
0	3478
0	3864
0	3924
1	3531
0	3278
0	3481
0	3500
0	3307
0	3896
0	3691
0	2813
0	3632
0	3245
0	2484
0	2670
0	3067
0	3493
0	3147
0	3021
0	3639
0	2977
0	3781
0	2031
0	3066
0	3852
0	3636
0	3461
19	3697
0	3129
0	3527
0	3657
0	3871
0	3452
0	3454
4	3431
0	3705
0	3582
2	3659
0	3852
0	3392
0	3148
0	3584
0	3610
1	561
2	603
0	595
0	483
9	523
0	563
5	497
34	103
1	258
4	224
0	173
1	241
0	189
0	198
0	201
0	172
0	195
41	215
1	35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
99	385
1	354
63	356
4	250
0	15116
0	9306
1	19432
10951	19433
6	7917
0	7168
0	6712
0	7463
0	0
0	274
0	275
1	264
10	274
0	256
0	298
0	275
0	327
0	273
2	275
0	264
0	253
0	228
0	273
0	219
0	287
0	132
0	307
0	257
0	264
0	290
0	313
0	275
0	262
0	274
0	262
3	273
0	298
0	270
7	296
0	258
0	248
0	275
0	274
0	276
0	263
0	251
2	227
9	66
0	100
0	77
2	73
0	75
0	28
0	6
0	9
0	5
0	1
0	2
0	2
0	2
0	2
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	6
3	11
0	4
0	4
0	20
0	24
0	30
1	20
0	11
0	15
0	11
0	14
0	10
0	22
2	20
2	8134
11	4920
0	8112
10	3443
0	8085
0	8119
5	8138
3	6266
0	7285
0	8129
2	8081
1	7536
0	6795
0	9119
44	7584
4	5942
0	4231
29	1341
1295	0
11	0
58	2581
2	2679
0	2636
0	2655
0	2991
0	2580
0	2649
0	2649
0	2657
0	2560
1	2690
1	2294
1	2349
0	1062
1	2627
0	1906
24	1969
3	1908
31	1507
8	1573
5	1130
8	1157
0	968
6	650
4	64
1	283
1	254
4	317
12	50
0	58
5	31
0	86
3	66
6	87
0	88
0	3
0	83
4	19
3	3463
1	3304
0	2109
36	3697
0	3576
0	3201
0	3783
0	3638
0	3108
0	3156
2	3221
0	3139
0	3204
1	2659
2	2891
0	2372
0	2251
0	228
0	324
8	340
4	246
6	148
0	3012
0	3007
0	2497
0	2790
0	2511
0	3315
0	2714
0	2502
2	2733
17	1983
0	3005
0	2520
1	2242
0	2212
0	2295
0	2710
0	1993
0	557
25	539
8	359
4	288
