"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"A1BG",162.806197683832,210.530321842361,218.677468197923,117.543012411393,92.6537049107783,205.496200014496,308.546254788596,65.3796291216911
"A1CF",0,0,0,0,0,0,0,0
"A2M",0,8.88836305935054,0,0,0,13.708353014561,28.061037981464,6.53998376616397
"A2ML1",0,0,0,0,0,0,0,0
"A3GALT2",2.01501169215505,0,0,1.99965744866069,1.98621081246079,0,4.95912193056062,0
"A4GALT",0,1.9964192701172,0,0,0,0,0,0
"A4GNT",0.996076468442503,0,0,0,0,0,0,0
"AAAS",625.704839516832,924.043789959882,657.724707571962,1138.22427052518,730.961144364661,1045.6613709497,1697.42831548418,867.953747650792
"AACS",273.176575997312,435.154490254115,283.495748218412,549.264610782606,411.464427144375,457.549068905091,1417.00616652229,292.074541485222
"AADAC",0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0
"AAED1",264.478825239936,362.343515024737,306.548067586108,878.336040053979,406.732919895389,417.718634299475,826.315706334447,365.716629917611
"AAGAB",320.892801231709,561.474427605325,362.9442163138,795.969010250991,484.20145985289,616.599891449827,1077.40333231668,603.915446307305
"AAK1",1229.86311687263,1959.73385060526,1202.85382574869,4284.20623659376,2190.21934994755,1484.12239569509,5194.99392389964,2099.74576768874
"AAMDC",68.2833028819903,118.056159133576,97.5170668321846,174.02007130294,142.015331946724,125.227633140379,254.222889467987,110.737333729544
"AAMP",2460.40983824038,4328.25623465969,2629.12458442174,4554.11708710459,2504.71245982432,3439.77045527584,7838.10408752796,3871.58933127768
"AANAT",0,0,0,0,0,0,0,0
"AAR2",714.84109076163,1122.25760671882,746.738462034715,1909.20708761512,998.16526613427,1122.79312517484,1876.65543633016,1012.83004192086
"AARD",0,0,0,1.00222848431035,0,0,0,0
"AARS",303.000937112241,392.84386875673,391.295777771524,559.251269999305,194.704465969179,439.611204691161,287.592927199163,162.685700993277
"AARS2",361.45482282089,449.793768566997,373.817882158061,400.938856113608,410.382363672571,436.634396347323,677.891783112304,359.578625273721
"AARSD1",277.116180201814,348.987643318902,259.240508510798,478.85788971593,284.230013845927,349.605992236334,574.793964931766,378.133405925735
"AASDH",304.153832909843,597.536026971312,337.199202429914,569.125740912396,479.324583257244,446.075428118679,1138.15604010852,442.344133265318
"AASDHPPT",1004.85476435345,1413.66096644926,1053.27131137929,2234.55759493224,1320.26352900512,1433.05187533265,2632.23748318678,1349.62021846082
"AASS",0,0,10.3213928502849,0,0,9.70406908188258,0,11.5303263354477
"AATF",1587.84042263971,2643.4494326757,1772.40695370394,4367.72616975069,2372.69680747343,2199.58984288936,5814.06277539525,2452.77261459412
"AATK",858.007162797868,1937.02815342775,701.406433335863,2187.05665077737,743.067268554159,2150.54502389843,2320.70476712806,1106.68603973728
"AATK-AS1",0,0,0,0,0,0,0,0
"ABAT",538.135525363772,1244.69141694649,835.969758426244,2083.07403896209,1094.22728250665,1446.43534775392,2615.76368523787,1144.69867236489
"ABC13-47488600E17.1",13.9859405253273,8.97975927049,5.02883682104517,52.1195079885616,24.0280234501209,8.98771126691327,106.139004322569,33.769579320594
"ABC7-42404400C24.1",12.0238721877065,6.77846927306386,9.27357363749526,19.4517470324827,5.42478325044963,9.24581293800142,24.6139924515748,10.1806182138024
"ABCA1",17.5688716991166,213.204836081507,116.996326966203,520.411616972959,150.749453353102,155.693209873166,401.925846890811,223.736804187524
"ABCA10",0,5.19447242390481,7.92428568907853,7.52123854616295,6.46023994281809,6.48397279702194,17.1562269482284,4.17800278570727
"ABCA12",0,0,0,0,0,0,0.991130958473989,0
"ABCA13",27.5730049639056,19.7717805996288,19.7686273304364,56.1198393749705,34.4465656150115,13.8703041917345,46.5660498244089,59.259412443794
"ABCA2",619.486528577816,1358.03509912444,853.789875499284,2157.09838872071,1122.07004904885,897.98266673958,2796.94554421918,913.429483644257
"ABCA3",53.1910395444104,38.2194272873014,36.3725141071444,236.090409197668,94.7720322363718,53.2631669887742,205.446686811925,123.903337710959
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",146.069308816839,186.571633949293,56.358841843789,194.747616756398,216.16843897925,110.653880910411,354.498645220436,112.999007337178
"ABCA6",0,0,0,0,0,0,0,0
"ABCA7",3996.32496730361,7323.71545939979,3644.01033948067,9747.11971342434,5943.87605826325,4794.42613694065,16927.784095848,6889.82248888409
"ABCA8",0,0,0,0,0,0,0,0
"ABCA9",17.3285877066237,53.721420090116,30.1476811454844,45.9330482389714,6.35028400078274,26.7606996724251,16.3154668172625,32.305334758212
"ABCB1",0,0,0,0,0,0,0,0
"ABCB10",496.047672068759,1020.44218747253,600.523420738245,1281.71927715424,863.178793753842,1045.44401175917,1964.43564242983,897.103380859272
"ABCB11",0,0,0,0,0,0,5.94770294911528,0
"ABCB4",0,0,0,0,0,0,0,0
"ABCB5",0,0,0,0,0,0,0,0
"ABCB6",82.3934270699797,91.4235578142344,22.7387332806172,91.7291014303469,103.907748296158,61.8311704858076,177.367029168346,15.7015193811186
"ABCB7",262.385165756096,663.535980935081,382.449073383762,545.801574061696,349.960630778819,586.489300167157,870.278934340096,368.594257700783
"ABCB8",277.970729602226,594.907572944722,373.546681771875,927.503278009974,378.785807118198,631.67774867836,1297.99327061974,651.06056508315
"ABCB9",3.22603741681832,11.5950647789905,4.8549242994618,6.13705216805726,8.79700622077835,14.493090925389,22.1957684905466,11.9587180261872
"ABCC1",1955.29348811955,2629.43213923701,2111.98477288706,4029.44945848261,1967.42750882502,2639.30731132144,6809.45084774563,2184.74977466035
"ABCC10",569.433515942124,579.004262257917,633.228806537711,906.750208854207,789.232637360491,689.810769269137,1454.28138553455,741.605537751799
"ABCC11",1.05311139642163,0,0,1.0570159529574,2.35882824796417,2.10443561832624,5.23010700337432,1.04775032752841
"ABCC12",0,0,0,0,0,0,0,0
"ABCC3",746.887818920806,488.266377305268,508.004798321871,433.674956914892,511.549692498291,390.350276633531,1040.8547658307,1782.87673194052
"ABCC4",0,0,0,16.0825493987741,0,0,0,39.5646016451704
"ABCC5",746.727474517587,1627.95865089832,742.573701065631,943.890758613733,495.422353514375,863.631455446348,1317.65997719472,831.810129498747
"ABCC6",182.737681835692,410.670126105428,188.892928427681,294.114911377037,269.459715025797,329.675487535389,506.415820563733,411.574414458581
"ABCC8",0,0,0,0,0,0,0,0
"ABCC9",5.61712367216252,3.69494721277213,2.84227760224573,7.37159793784026,8.40891322168903,3.68493279478996,2.77282903026118,4.63677775993587
"ABCD1",1198.46342757924,2399.20348324856,1372.36808028723,3978.00774235231,2681.12344612174,1971.13630666579,5213.79673777087,2164.87217730103
"ABCD2",1.99559275846543,27.9424321186587,24.198748890113,148.335928085122,66.1161657849067,2.98874934381755,44.6251524659263,0.993894582084841
"ABCD3",1140.17699746634,1975.03336660018,991.698032378963,2118.69007262283,1088.06850801459,1919.19370509053,3242.10404125351,1690.5419176431
"ABCD4",341.491326603572,741.204935706602,318.261770236572,504.309036122686,340.434928081179,518.669791649974,1009.79664596361,599.046962008477
"ABCE1",823.918905199587,927.710526396893,790.594678893248,1779.47701637241,633.648137487231,1114.70488059208,1510.4312060877,818.118251996849
"ABCF1",1911.71111175447,3296.31146808998,1658.21125853636,4511.82149761643,2596.77631812211,2333.05079257065,6405.95720054036,3116.8064227092
"ABCF2",356.907310782557,752.676064127584,454.601096076957,569.199185919353,230.874722022416,595.709370909022,830.482535937886,585.994802820163
"ABCF3",1118.31829487216,1800.60659766234,1222.8487739615,2737.19355581017,1678.74318769724,1797.08034893897,2908.40420303304,1296.37726298193
"ABCG1",215.15421314773,1625.90017857206,315.704100525173,1339.34677667087,344.584114332113,259.35342507835,1141.20025424426,337.14328794158
"ABCG2",0,0,0.901617591643291,0,0,0,0,0
"ABCG4",0,0.998445361323743,0,1.00333461795024,3.00378815679718,0,0,0
"ABCG5",0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,6.93895558435934,0
"ABHD1",0,8.73260990209304,2.00297704191794,3.81868377631057,0,9.7713974582569,7.58020588166376,1.55492633036832
"ABHD10",700.763651272158,1225.7613845556,802.880695936451,1593.03329487615,1152.54992517156,1055.88113905081,1941.87956484912,870.11405884167
"ABHD11",114.057726090396,206.753405184536,182.643661253907,319.960086554886,109.923360561824,195.710405582002,595.357677162756,198.410941026048
"ABHD12",693.026114288879,1097.84322697365,734.864296743766,1546.17512492741,859.795883880129,1195.24959713479,2395.44786506441,1067.95464207546
"ABHD12B",0,0,0,0,0,0,0,0
"ABHD13",933.392840225259,1573.93977987861,1158.66248761129,2192.46311045497,1154.66381421098,1522.95233966622,3307.25357743045,1569.80299687361
"ABHD14A",99.2409640607966,110.657814291451,96.7640837440381,230.944839463162,126.787167794646,137.27085205848,217.088774174844,92.7097436277781
"ABHD14A-ACY1",26.8228896121192,119.85982978965,13.8663813237466,60.0706688902512,20.3538968904712,59.0890117228135,55.8436670901323,31.6420061022037
"ABHD14B",223.237045613047,596.078925216524,351.806906240492,568.479871703633,330.582456150423,482.027319753109,642.260179808772,375.882529940548
"ABHD15",23.9823693309613,69.8398061849413,44.2295544852225,79.1819713253952,60.0623303731226,55.9525665483082,122.01782207535,68.5232783020526
