"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"METTL7B",452.54942317063,5.90845980599012,0.395686136310517,9.1124295431476e-52,1.18106199308736e-47
"C1QB",787.300084796599,4.02941156776412,0.322689585900626,6.12184401304073e-37,3.96726101265105e-33
"C1QC",715.882234985152,4.61327934713336,0.372396940339184,1.69299749376884e-36,7.3143135055793e-33
"C2",2250.1778936874,3.55197028057778,0.291153557307572,1.55168606845505e-35,5.02785078331148e-32
"FAM20A",553.194851033537,5.56055318060722,0.461491473934548,5.28655159898315e-35,1.37037990548841e-31
"C1QA",1180.72968813061,2.99831860822524,0.270931185130124,9.2072891003529e-30,1.98892790049457e-26
"ACE",63.5533529891151,4.40278457304812,0.474122122066137,1.93117489874243e-21,3.57570826608581e-18
"IMPDH2",562.047801590935,-1.35385067119406,0.154680074516436,1.25797142718529e-19,2.03807095846856e-16
"MS4A4A",1299.40535071714,1.66358919597574,0.190800863118848,1.56335357534638e-19,2.25140285445161e-16
"FYB",23829.2885872669,0.801860319477849,0.0965285384863094,9.67083929478788e-18,1.25343748099746e-14
"NCOA7",2519.95685476022,2.99731293336093,0.368014210340592,1.99287834287006e-17,2.34815420017626e-14
"CLU",2182.8521180814,3.5496578739739,0.439534788454164,3.49684099987202e-17,3.4863504768724e-14
"IFI27",13495.1063114692,12.8922878535401,1.60212810293551,3.25659093942813e-17,3.4863504768724e-14
"GAS6",635.440763848798,2.09800057596282,0.261714558233862,5.14739889446128e-17,4.76538836222233e-14
"H3F3B",16142.9776757283,0.611327613371503,0.0771634364089298,2.28380993679783e-16,1.97336403938911e-13
"SBNO2",8975.22769358379,0.721390665983073,0.091607606072887,3.26468416151625e-16,2.64459821358826e-13
"FCGR1A",5378.06167613002,2.23588673839775,0.290529647691697,9.44416420881468e-16,7.20034190061453e-13
"CXCL10",1131.41487563028,3.93104298144592,0.524122636490435,2.79869254126202e-15,2.01521411262762e-12
"ADAP2",2501.48226451554,0.838753809250835,0.112587275692144,7.53163642555465e-15,5.13776524797967e-12
"HIST1H2BK",366.578484263526,1.09983871773193,0.148626850901573,9.15083879897605e-15,5.68273358594846e-12
"JAK3",4785.41665579231,1.07151204129954,0.144780599196692,9.20742267609889e-15,5.68273358594846e-12
"SOX4",1549.1758105393,-1.24920915732722,0.169695650022547,1.07702442465548e-14,6.34514253089075e-12
"PIM3",3529.04198848085,1.16984429128408,0.15975874318473,1.38723298907711e-14,7.81735946583844e-12
"DCAF11",2053.76488168093,0.577057415253641,0.0783838126891876,2.26894671200629e-14,1.19728136565084e-11
"SH2B2",713.581536226816,1.50750968820218,0.207975070989775,2.30939234173837e-14,1.19728136565084e-11
"ITGA7",463.788405765197,3.74278834760811,0.520898960325352,2.91110173810553e-14,1.45118421644561e-11
"PIM1",3997.48000421084,1.53377872663956,0.217401169130057,9.5279801343762e-14,4.5737833526537e-11
"PLAC8",8604.94044326763,2.99369417985003,0.426685006026016,1.06301889899841e-13,4.92063855354227e-11
"MAFB",14001.150131387,0.983055695060348,0.141085884852183,2.2010761083666e-13,9.8372922208757e-11
"CASP5",214.077983864274,1.65364604508582,0.245179586712911,8.67458930482288e-13,3.74771173266031e-10
"AC025335.1",161.487514665877,-1.15259224106521,0.170977303505728,9.33862361575333e-13,3.78243439636809e-10
"MYOF",9242.65837974151,1.83406121720255,0.272897333507107,9.32412640494682e-13,3.78243439636809e-10
"RPL13",6137.61808620258,-0.828883040806293,0.124193383135,1.94109614868728e-12,7.62380217670784e-10
"JADE2",480.245816240699,0.914845158425349,0.137953031462261,2.5027669014552e-12,9.54069464992966e-10
"FZD5",293.98321110836,1.79957567597829,0.276176870836219,3.67393346764502e-12,1.36051004783277e-09
"CDKN1A",3607.25595112557,1.95116967417675,0.302958086431588,6.21756673861947e-12,2.23849673609019e-09
"CSRNP1",1384.61949665754,1.51903699546517,0.243052158182583,2.18883723783266e-11,7.66743768636461e-09
"NARS",4298.40926036156,-0.398768428973902,0.0627427145774046,4.53115364835665e-11,1.54548111674607e-08
"GBP4",7981.67561016044,2.37796350518427,0.389272619138817,5.31876228988979e-11,1.76760200100671e-08
"SLC25A25",1047.16716275627,0.812495077031451,0.131748534303981,5.52947795595898e-11,1.79168909467961e-08
"AGRN",1823.99951718474,2.87875713886131,0.476744748890852,7.60794263256004e-11,2.40503766977099e-08
"RAB37",1614.02042043949,-0.919980210996899,0.151192040257133,8.2408289354459e-11,2.54308056743606e-08
"ENPP2",106.51682837756,3.09010177095032,0.514412620266988,1.00544493339671e-10,3.03059808878017e-08
"HEG1",1774.25717107963,2.14279410628959,0.363076876903571,1.94315072041526e-10,5.72390374711412e-08
"STOM",4063.90906371122,1.39359182628265,0.239957986195928,2.71424412034774e-10,7.81762623196157e-08
"RUFY4",794.40298211553,2.88433540100601,0.503949872325753,4.75378531363634e-10,1.33943068369653e-07
"MKKS",975.82815785387,-0.543097859019637,0.0922659695313949,5.12202517515497e-10,1.41248017649327e-07
"SEZ6L",152.264914979999,-2.11744920023438,0.376827737259772,8.87949982350705e-10,2.39764994192656e-07
"PDXK",4648.58342168645,-0.668600199820497,0.116500960279769,9.20602196000787e-10,2.43508674742167e-07
