"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"A1BG",17.966516,13.817561,20.542398,5.606982,7.250809,15.039108,10.315383,4.585845
"A1CF",0,0,0,0,0,0,0,0
"A2M",0,0.161052,0,0,0,0.276969,0.258998,0.126643
"A2ML1",0,0,0,0,0,0,0,0
"A3GALT2",0.147918,0,0,0.063451,0.103395,0,0.110286,0
"A4GALT",0,0.037983,0,0,0,0,0,0
"A4GNT",0.035953,0,0,0,0,0,0,0
"AAAS",21.55228,18.92954,19.285106,16.946927,17.854543,23.885818,17.712803,19.002217
"AACS",4.944388,4.68421,4.367871,4.297245,5.281194,5.49202,7.769856,3.360058
"AADAC",0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0
"AAED1",5.544188,4.517429,5.470157,7.958792,6.046264,5.807059,5.247654,4.872768
"AAGAB",15.581925,16.214924,15.002208,16.706932,16.673162,19.855916,15.849355,18.638942
"AAK1",8.743575,8.286157,7.279462,13.165642,11.042073,6.997249,11.188953,9.488181
"AAMDC",13.666884,14.052948,16.614596,15.05545,20.156771,16.621894,15.414938,14.087471
"AAMP",119.905466,125.449314,109.067877,95.934569,86.560577,111.169675,115.721671,119.923638
"AANAT",0,0,0,0,0,0,0,0
"AAR2",17.917261,16.729327,15.932532,20.684954,17.741703,18.663247,14.250129,16.135509
"AARD",0,0,0,0.011542,0,0,0,0
"AARS",5.090828,3.925439,5.596336,4.061541,2.319803,4.898223,1.463844,1.737312
"AARS2",4.264947,3.156435,3.754688,2.044924,3.433832,3.416669,2.423216,2.69673
"AARSD1",21.128562,15.824934,16.825388,15.781712,15.367695,17.677151,13.276769,18.324709
"AASDH",5.820963,6.801261,5.493413,4.708138,6.50522,5.661548,6.59896,5.380787
"AASDHPPT",23.327369,19.51783,20.814064,22.422985,21.734709,22.062246,18.51227,19.913978
"AASS",0,0,0.162801,0,0,0.119246,0,0.135797
"AATF",47.974419,47.500445,45.584845,57.042386,50.836525,44.072727,53.217532,47.10252
"AATK",13.693967,18.386459,9.529328,15.088213,8.410024,22.762096,11.22097,11.226562
"AATK-AS1",0,0,0,0,0,0,0,0
"ABAT",6.362597,8.752422,8.413709,10.64601,9.174471,11.341412,9.369435,8.602366
"ABC13-47488600E17.1",0.212901,0.081297,0.065164,0.342946,0.259379,0.090732,0.489478,0.326735
"ABC7-42404400C24.1",0.059508,0.019952,0.039069,0.041613,0.019039,0.030346,0.036905,0.032025
"ABCA1",0.122386,0.883301,0.693768,1.567019,0.744688,0.719255,0.848215,0.990625
"ABCA10",0,0.030979,0.067642,0.032601,0.045939,0.043119,0.052119,0.026629
"ABCA12",0,0,0,0,0,0,0.001772,0
"ABCA13",0.245407,0.104658,0.149773,0.215903,0.21741,0.081868,0.125558,0.335231
"ABCA2",7.427829,9.684224,8.714354,11.179938,9.540711,7.140413,10.159824,6.961279
"ABCA3",0.504748,0.215697,0.293808,0.968398,0.637745,0.335188,0.590619,0.747314
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",3.370521,2.560398,1.107017,1.942449,3.537212,1.693285,2.478134,1.657283
"ABCA6",0,0,0,0,0,0,0,0
"ABCA7",51.599466,56.23927,40.051444,54.400153,54.423303,41.053141,66.215043,56.542685
"ABCA8",0,0,0,0,0,0,0,0
"ABCA9",0.173027,0.319023,0.256247,0.198251,0.044965,0.177204,0.049354,0.205026
"ABCB1",0,0,0,0,0,0,0,0
"ABCB10",7.375595,9.023725,7.600773,8.2377,9.101336,10.308602,8.848784,8.478131
"ABCB11",0,0,0,0,0,0,0.05499,0
"ABCB4",0,0,0,0,0,0,0,0
"ABCB5",0,0,0,0,0,0,0,0
"ABCB6",2.362753,1.559221,0.555068,1.137031,2.113024,1.175868,1.540887,0.286188
"ABCB7",10.937845,16.450563,13.571263,9.834826,10.345284,16.213543,10.990643,9.766187
"ABCB8",7.908684,10.066499,9.046992,11.4067,7.642397,11.918623,11.18793,11.773634
"ABCB9",0.11126,0.23783,0.14253,0.091489,0.215147,0.331479,0.231906,0.262143
"ABCC1",16.692097,13.350106,15.347721,14.869079,11.910457,14.94219,17.610966,11.854538
"ABCC10",5.229166,3.162241,4.949989,3.599287,5.139551,4.200923,4.045852,4.328589
"ABCC11",0.01273,0,0,0.005523,0.02022,0.01687,0.019153,0.00805
"ABCC12",0,0,0,0,0,0,0,0
"ABCC3",11.622738,4.51891,6.72938,2.917137,5.6451,4.028403,4.906992,17.634306
"ABCC4",0,0,0,0.141751,0,0,0,0.51277
"ABCC5",14.176633,18.381381,12.000648,7.745904,6.669869,10.873385,7.578556,10.037352
"ABCC6",6.018492,8.044082,5.295774,4.187126,6.293383,7.200648,5.05288,8.615727
"ABCC8",0,0,0,0,0,0,0,0
"ABCC9",0.037961,0.014851,0.016351,0.021534,0.040299,0.016515,0.005677,0.019917
"ABCD1",19.550258,23.276549,19.05691,28.049992,31.015248,21.324051,25.766412,22.446258
"ABCD2",0.017684,0.147264,0.182539,0.568191,0.415477,0.017564,0.119801,0.005598
"ABCD3",18.858059,19.42777,13.962344,15.147172,12.761793,21.050813,16.245153,17.771932
"ABCD4",17.684513,22.828403,14.029819,11.288847,12.501965,17.812699,15.842346,19.717792
"ABCE1",14.26299,9.551298,11.650221,13.315513,7.778664,12.797094,7.92135,9.001734
"ABCF1",39.505809,40.512658,29.169751,40.302317,38.054321,31.973357,40.104663,40.938555
"ABCF2",7.449831,9.343786,8.077475,5.135641,3.417418,8.246141,5.251624,7.774433
"ABCF3",28.658023,27.442485,26.675202,30.319757,30.50674,30.540324,22.579156,21.115248
"ABCG1",2.866678,12.883882,3.580663,7.713678,3.25578,2.29164,4.606415,2.855141
"ABCG2",0,0,0.189781,0,0,0,0,0
"ABCG4",0,0.014575,0,0.010645,0.052283,0,0,0
"ABCG5",0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0.016225,0
"ABHD1",0,0.312973,0.102747,0.09947,0,0.3905,0.138386,0.059557
"ABHD10",19.674794,20.467668,19.188623,19.333162,22.947169,19.659796,16.517072,15.527402
"ABHD11",6.910998,7.450622,9.420519,8.38014,4.723205,7.864214,10.928641,7.641272
"ABHD12",23.048069,21.714462,20.803972,22.227112,20.277343,26.361426,24.134806,22.574687
"ABHD12B",0,0,0,0,0,0,0,0
"ABHD13",9.882551,9.910978,10.44277,10.034051,8.669437,10.693411,10.608262,10.56413
"ABHD14A",7.06442,4.684804,5.863459,7.106131,6.400171,6.480212,4.681608,4.194642
"ABHD14A-ACY1",0.626258,1.664352,0.275591,0.606247,0.336997,0.914913,0.394997,0.469565
"ABHD14B",8.743535,13.885079,11.729495,9.624436,9.181874,12.520388,7.620859,9.357437
"ABHD15",0.398672,0.690479,0.625879,0.56897,0.708038,0.616835,0.614496,0.724012
"ABHD16A",42.305124,44.973209,39.861235,61.95158,65.117116,48.152824,51.485928,47.851724
"ABHD16B",0.089409,0.079146,0,0.385623,0.063013,0.14897,0.01339,0
"ABHD17A",44.672844,40.853359,34.090168,53.341223,39.979098,37.555097,42.989629,43.90426
"ABHD17B",4.620448,4.275838,5.358507,4.843169,4.340271,7.157798,4.451264,4.368039
"ABHD17C",1.210802,1.038132,1.20054,1.304591,1.764391,0.930873,1.501945,1.152374
"ABHD18",4.061146,4.609198,3.282188,5.706366,4.572291,4.28091,4.187146,6.100991
"ABHD2",44.902032,56.314181,44.222371,44.55688,35.53595,49.622953,48.185445,50.933367
"ABHD3",45.235353,44.245753,44.373442,55.259951,68.014868,35.041448,56.214402,54.051973
"ABHD4",7.653151,7.994286,6.486378,8.426446,7.617825,6.48894,5.519904,6.505531
"ABHD5",8.438658,15.378146,16.671685,9.422347,14.221598,15.943844,12.544327,10.847428
"ABHD6",9.957687,8.070015,7.656514,6.734801,5.072811,9.592521,8.158179,9.183288
"ABHD8",4.522035,2.996021,3.386157,3.512342,3.709364,3.275807,3.19949,4.201305
"ABI1",53.159332,42.531853,42.097348,48.159521,47.188615,41.880065,44.091735,37.760444
"ABI2",3.624247,1.903337,4.014016,2.648578,1.829671,2.317206,1.668801,3.174777
"ABI3",70.968828,52.836434,59.001315,92.964551,100.980756,86.194173,103.102432,85.722011
"ABI3BP",0,0.110191,0,0,0,0.136093,0,0
"ABL1",11.110979,11.861489,11.384943,12.995675,11.513365,11.663425,10.830115,11.184506
"ABL2",3.188314,3.316464,2.931103,4.58668,4.03752,3.193346,3.582584,3.665377
"ABLIM1",1.972522,2.832686,2.338285,4.670345,5.383801,0.36605,0.988337,0.68661
"ABLIM2",0.116753,0.04459,0.033913,0.206501,0.159832,0.015503,0.063483,0.050365
"ABLIM3",1.66542,2.185361,1.670432,2.119108,1.089537,0.870935,1.605203,1.514789
"ABO",0,0.455233,0.24622,0.121807,0.995418,0,0.518163,0.120939
"ABR",114.471272,118.662734,124.47004,119.484842,120.659115,121.80564,129.045359,127.239387
"ABRA",0,0,0,0,0,0,0,0
"ABRACL",222.791933,139.677237,100.826153,147.396293,159.406457,148.966984,144.301542,169.534744
"ABT1",8.697804,0,6.726795,1.153431,1.285201,0,12.818873,0
"ABTB1",125.889314,115.529537,144.434695,74.595823,82.756999,101.663353,104.287781,101.592027
"ABTB2",0.013555,0.134364,0.089086,1.279515,0.988792,0.009556,0.075533,0.092582
"AC002310.11",0,0,0,0.17607,0,0.212106,0.43479,0
"AC002398.9",0.171117,0.580523,0,0.067735,0.122459,0.100437,0.057935,0.227985
"AC002985.3",0,0,0,0.537442,0.421631,0,0.242948,0.697939
"AC003002.4",0,0,0,0,0,0,0.133247,0
"AC003002.6",0,0,0,0,0,0,0,0
"AC003005.4",0.193971,0.270897,0,0.01689,0.201719,0,0.100057,0.178317
"AC003006.7",0,0,0,0,0,0,0,0
"AC004076.7",2.534544,2.454607,1.78985,0.630517,0,1.642124,0.940705,0
"AC004076.9",0,0,0,0,0,0,0,0
"AC004231.7",0,0,0,0,0,0,0,0
"AC004381.6",0.155139,0.58048,0.582973,0.796625,1.223442,0.362347,0.569334,0.119027
"AC004556.1",44.950618,0.310919,0,0.307797,0.26164,0,0.091739,0
"AC004754.3",0,0,0.179178,0.085883,0,0.03466,0,0
"AC004893.11",2.68642,2.267141,2.629688,1.816856,2.423225,2.984667,2.044248,2.738092
"AC005281.1",0,0,0,0,0,0,0,0
"AC005943.2",2.112266,0,4.942275,6.206168,1.037134,0.498514,4.723041,6.600545
"AC006116.20",0.160098,0,0.360717,0,0.10923,0,0,0.194142
"AC006153.3",0,0,0,0,0,0,0,0
"AC006449.1",0,0,0,0,0,0,0,0
"AC006486.9",5.226371,6.344854,8.350031,3.414727,4.548964,0,4.041185,7.725877
"AC006538.4",10.045552,10.757697,13.678899,10.103043,15.854306,6.442074,7.353956,8.905367
"AC007040.11",0.367232,0.018542,0.042246,0.03395,0.020873,0.038387,0.019064,0.037686
"AC007192.4",3.198757,4.190195,3.698171,8.73182,7.430059,6.217343,7.514795,4.290125
"AC007325.1",0,0,0,0,0,0,0,0
"AC007325.2",0,0,0,0,0,0,0,0
"AC007325.4",1.319163,3.53556,0.288367,0.857183,1.194679,1.213084,2.24291,0.35782
"AC007405.6",0,0,0,0,0,0,0,0
"AC009014.3",0,0,0,0,0,0,0,0
"AC009133.22",2.523224,2.07886,1.296498,0,0.723048,1.482312,0.197819,0.716455
"AC009133.23",2.451394,1.469753,0.697405,1.964167,0,0,1.292256,0.333114
"AC009286.1",0,0,0,1.67164,0,0,0,0
"AC009950.1",0.421547,1.578833,1.226695,4.103113,5.029034,1.321564,3.014968,1.860651
"AC010547.9",0,0.275303,0.395827,0.236495,0.098125,0.046279,0.143178,0.219046
