"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS","30/671","32/10623",0.9375,14.8421199701937,20.3619018203088,2.4510989855597e-34,2.38001711497847e-31,2.22404981637101e-31,"11330/63036/23436/279/5967/1360/4825/6690/27232/168620/1358/1357/5644/2626/1056/256297/5406/5408/5319/6035/5267/3175/64714/2813/343/1506/6928/342898/3816/3170",30
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","41/671","81/10623",0.506172839506173,8.01352321024452,16.4522942020159,3.95502690594183e-28,1.92016556283476e-25,1.79433325943256e-25,"11330/63036/23436/279/5967/1360/8671/4825/1950/2255/6690/27232/358/7980/168620/1080/1358/1357/5644/2626/203111/10319/1056/256297/3087/5406/5408/5319/9071/6035/5267/3175/64714/2813/343/1506/7448/6928/342898/3816/3170",41
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES","REACTOME_DEVELOPMENTAL_CELL_LINEAGES","43/671","136/10623",0.316176470588235,5.00557771543789,12.2072603587626,1.44200909091687e-19,4.66730275760093e-17,4.36144503989594e-17,"11330/63036/23436/279/5967/26018/1360/8671/4825/1950/2255/6690/27232/358/7980/168620/1080/1358/1357/5644/2626/203111/5646/10319/1056/256297/3087/5406/5408/5319/9071/6035/5267/3175/64714/2813/343/1506/7448/6928/342898/3816/3170",43
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","52/671","342/10623",0.152046783625731,2.40714304389887,6.86819862928469,2.29668100374328e-09,5.57519313658681e-07,5.20983954007028e-07,"5563/57554/3737/88/3777/9378/60482/3760/2066/111/2743/2891/348980/3781/83795/57497/22999/2898/816/107/5577/1142/774/783/2572/143425/3767/6833/6506/22941/1740/2893/3762/3764/27165/26960/114798/54207/57596/2562/57369/9455/115/18/9256/3773/2788/5802/57622/23236/3763/3772",52
"REACTOME_DIGESTION","REACTOME_DIGESTION","10/671","19/10623",0.526315789473684,8.3324182288807,8.30612369462542,5.19369221569426e-08,1.00861502828782e-05,9.42518461037569e-06,"280/279/276/277/278/1208/1056/5406/5407/5408",10
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS","REACTOME_G_ALPHA_S_SIGNALLING_EVENTS","23/671","113/10623",0.20353982300885,3.22235996992997,6.16682315557168,4.613312134017e-07,6.73189274436862e-05,6.29073830087891e-05,"6344/5746/10267/2850/111/5734/8622/285601/2740/7432/117/107/5577/7434/796/170589/5139/3375/115/116/2788/3972/79924",23
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","28/671","157/10623",0.178343949044586,2.82346910685639,5.97677760177271,4.85306377039962e-07,6.73189274436862e-05,6.29073830087891e-05,"54855/7832/56997/6262/3485/10991/1360/2261/152/1950/1208/51302/6446/10734/1358/727/57118/7704/9194/4842/4625/8786/398/2813/2593/23031/495/4868",28
"REACTOME_DIGESTION_AND_ABSORPTION","REACTOME_DIGESTION_AND_ABSORPTION","10/671","24/10623",0.416666666666667,6.59649776453055,7.12686831588435,8.25090775882627e-07,0.000100145392922754,9.35826643172137e-05,"280/279/276/277/278/1208/1056/5406/5407/5408",10
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_MULTIPOTENT_PANCREATIC_PROGENITOR_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_MULTIPOTENT_PANCREATIC_PROGENITOR_CELLS","8/671","16/10623",0.5,7.91579731743666,7.18811784820551,1.98772926723059e-06,0.000198994514293982,0.000185954004359491,"4825/1950/2255/2626/3087/3175/6928/3170",8
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","12/671","38/10623",0.315789473684211,4.99945093732842,6.41292211734371,2.15747357208253e-06,0.000198994514293982,0.000185954004359491,"57818/4760/6750/4825/5122/10590/3630/6833/3375/1113/3170/5063",12
