"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","93/1221","170/10623",0.547058823529412,4.75954617719324,17.8069798007543,1.30202015104892e-43,1.47258479083633e-40,1.20197018154727e-40,"912/911/114836/57823/2214/919/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3676/1281/10225/131450/3134/3105/3106/4277/54210/79465/1278/1308/8519/120425/916/915/917/56253/9976/3695/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/567/930/3683/1277/11314/146722/3383/7087/933/89790/89858/946/8778/126014/10859/6614/3689/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/4068",93
"REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION","53/1221","60/10623",0.883333333333333,7.68521703521704,18.7132126835529,1.00393991063942e-42,5.67728019466592e-40,4.6339752717409e-40,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3495/3507/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/933/973/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",53
"REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION","56/1221","68/10623",0.823529411764706,7.16490822373175,18.378193098047,1.437647019947e-41,5.41992926520018e-39,4.42391732102988e-39,"2214/919/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/917/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/3055/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",56
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","60/1221","85/10623",0.705882352941177,6.14134990605579,17.1497733406986,1.43344739851951e-37,4.05307251931393e-35,3.30824570658319e-35,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/27071/3710/640/3495/3507/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/930/7409/933/973/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/30011/695",60
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","53/1221","68/10623",0.779411764705882,6.78107385460327,17.2339453821839,4.60092923439144e-37,8.67275160682787e-35,7.07897357642332e-35,"713/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",53
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA","53/1221","68/10623",0.779411764705882,6.78107385460327,17.2339453821839,4.60092923439144e-37,8.67275160682787e-35,7.07897357642332e-35,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3512/3494/3493/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/8542",53
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","57/1221","81/10623",0.703703703703704,6.12239512239512,16.6765010775656,1.26775728933122e-35,2.04833356319088e-33,1.67191450036614e-33,"2214/919/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3710/917/122618/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",57
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","55/1221","76/10623",0.723684210526316,6.29623044096728,16.697830698882,1.8497432517254e-35,2.61507452212678e-33,2.13450635758312e-33,"713/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/717/629/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",55
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","83/1221","174/10623",0.477011494252874,4.15011720184134,15.0978403577083,3.35739399961262e-33,4.21912512617986e-31,3.44378308498277e-31,"3932/6566/965/962/51744/6382/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3676/2335/3635/3512/972/54210/1278/8797/4312/120425/4973/6404/9056/3494/3493/3507/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/6693/3683/3687/3690/3675/1277/9123/1048/4680/634/55423/3689/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",83
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS","60/1221","99/10623",0.606060606060606,5.27287618196709,15.3921165366813,7.25515649883033e-32,8.2055820001771e-30,6.69765499944653e-30,"5052/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/8685/1281/3512/6678/1278/3494/3493/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/1277/348/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/8542",60
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS","REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS","57/1221","92/10623",0.619565217391304,5.39036961863049,15.2409152727066,4.62100740736258e-31,4.75123579793371e-29,3.87810860885836e-29,"2214/919/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3710/917/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/3055/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",57
"REACTOME_PARASITE_INFECTION","REACTOME_PARASITE_INFECTION","64/1221","115/10623",0.556521739130435,4.84187586796283,14.9273623048247,7.27745343829424e-31,6.85899986559232e-29,5.59853216261758e-29,"2214/919/10092/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/7456/10109/60/10095/917/3071/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/7409/3055/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/695",64
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","49/1221","70/10623",0.7,6.09017199017199,15.3972926690359,1.33034220877003e-30,1.15739772162992e-28,9.44704548252076e-29,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",49
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION","54/1221","85/10623",0.635294117647059,5.52721491545021,15.1012304323328,2.7080207957547e-30,2.18769394285612e-28,1.78566484050893e-28,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3937/3710/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/27040/7409/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/695",54
"REACTOME_COMPLEMENT_CASCADE","REACTOME_COMPLEMENT_CASCADE","59/1221","103/10623",0.572815533980582,4.98363588654851,14.6400053552739,1.81145731808808e-29,1.36583881783841e-27,1.11484074944789e-27,"713/725/1604/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/717/629/733/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/930/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",59
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","52/1221","86/10623",0.604651162790698,5.26061367921833,14.2959740139711,1.07269610007907e-27,7.58262055743395e-26,6.18917420900886e-26,"28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/3937/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/27040/7409/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539",52
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","67/1221","142/10623",0.471830985915493,4.10504550645396,13.423372380734,1.23967892287625e-26,8.24751095160614e-25,6.73187873289458e-25,"2214/919/10092/28908/28299/28914/28940/28913/28938/28937/28912/28921/28919/28933/28930/28893/28896/28881/28883/28874/28901/28903/7456/10109/3710/60/10095/1072/917/3071/122618/3503/3501/3500/28474/28457/28452/28450/28449/28442/28439/28434/28395/28394/28465/28424/28420/28392/28461/7409/3055/28778/28820/28822/28823/28825/28793/28813/28796/28797/28815/28816/28817/28809/3538/3539/695",67
