"module","total_genes","de_genes","de_fraction"
"purple",135,121,0.896296296296296
"blue",1145,953,0.832314410480349
"brown",824,654,0.793689320388349
"yellow",388,210,0.541237113402062
"cyan",45,23,0.511111111111111
"greenyellow",97,49,0.505154639175258
"tan",85,40,0.470588235294118
"turquoise",1187,460,0.387531592249368
"pink",149,51,0.342281879194631
"magenta",143,17,0.118881118881119
"green",232,21,0.0905172413793103
"black",170,14,0.0823529411764706
"grey",149,8,0.0536912751677852
"salmon",53,2,0.0377358490566038
"red",198,3,0.0151515151515152
