Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR26436341_1 - illumina_universal_adapter	(1, 0.0005268322852799943)	(2, 0.0005330669868809409)	(3, 0.0005486537408833076)	(4, 0.0006577610188998745)	(5, 0.0006889345269046078)	(6, 0.0006951692285055545)	(7, 0.0007107559825079211)	(8, 0.0007169906841088679)	(9, 0.0007606335953154946)	(10, 0.0008990439708565108)	(15, 0.0011858402445000579)	(20, 0.0016659122677729523)	(25, 0.002331154928593963)	(30, 0.003235810130891325)	(35, 0.004424144256031761)	(40, 0.005934188983781047)	(45, 0.007684269723166779)	(50, 0.00986953263429859)	(55, 0.012498082829257708)	(60, 0.01622207009550316)	(65, 0.02123165283186381)	(70, 0.02857488437745881)	(75, 0.039637738898178586)	(80, 0.05766163775635534)	(85, 0.086558232736423)	(90, 0.1330597546270838)	(95, 0.20771968282826014)	(100, 0.32017748948517577)	(105, 0.48402981184917504)	(110, 0.7101406174599078)	(115, 1.0122630345789019)	(120, 1.3940356350604706)	(125, 1.8626906727617112)	(130, 2.4198872017786353)	(135, 3.0616106977503947)	(140, 3.485615919936456)
SRR26436341_1 - polya	(1, 0.013055465152382342)	(2, 0.02545316928586481)	(3, 0.031070635428317766)	(4, 0.04210917461279386)	(5, 0.046831961075510964)	(6, 0.051239895107380265)	(7, 0.05787985231238848)	(8, 0.06788966573270837)	(9, 0.0847233600552644)	(10, 0.1108324199495488)	(15, 0.15087541445178893)	(20, 0.1935070570587421)	(25, 0.2468823374644466)	(30, 0.2890893968923754)	(35, 0.32295068475727684)	(40, 0.3556710222292051)	(45, 0.38714940714222473)	(50, 0.41835969988640376)	(55, 0.45353900366974537)	(60, 0.48277040212578387)	(65, 0.5155873774725268)	(70, 0.554379690833617)	(75, 0.5886125669139349)	(80, 0.6178751388779782)	(85, 0.6524945664575548)	(90, 0.685037214933856)	(95, 0.7205457109617277)	(100, 0.7508045882416022)	(105, 0.7812187095913403)	(110, 0.8093509301551318)	(115, 0.8343227804774035)	(120, 0.8595864148345995)	(125, 0.8877323517419132)	(130, 0.9189027423958462)	(135, 0.9490961553089108)	(140, 0.9644833988600472)
SRR26436341_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0013186393886002222)	(4, 0.0018454716738802164)	(5, 0.002051216826711457)	(6, 0.0022850181367469573)	(7, 0.0025157020959819844)	(8, 0.0028336718776302647)	(9, 0.003397912372515939)	(10, 0.004593104669417417)	(15, 0.006235948541266866)	(20, 0.007688634014287442)	(25, 0.009313397251494146)	(30, 0.010575300855525754)	(35, 0.012356555102916219)	(40, 0.01440029028770654)	(45, 0.016797533053270537)	(50, 0.01923031361795993)	(55, 0.022057127323829154)	(60, 0.025162632191260692)	(65, 0.028227611498286082)	(70, 0.047688609075481045)	(75, 0.062339534367545635)	(80, 0.06662838559883685)	(85, 0.07064852119112727)	(90, 0.07443236159274182)	(95, 0.07806282833497306)	(100, 0.08208483433774376)	(105, 0.08719853659084023)	(110, 0.09252421869836888)	(115, 0.09834119529205212)	(120, 0.10452664275035133)	(125, 0.11168033936727753)	(130, 0.12054982586478429)	(135, 0.13059517708422957)	(140, 0.1376435072440998)
SRR26436341_2 - illumina_universal_adapter	(1, 0.0005361843376814142)	(2, 0.0005393016884818876)	(3, 0.0005424190392823609)	(4, 0.0005954140028904077)	(5, 0.000626587510895141)	(6, 0.0006359395632965611)	(7, 0.0006421742648975077)	(8, 0.0006452916156979811)	(9, 0.0006764651237027144)	(10, 0.000784325461399092)	(15, 0.0010680043842421659)	(20, 0.0015680274526380892)	(25, 0.0023835264220419144)	(30, 0.0035955524132659485)	(35, 0.005205975836790476)	(40, 0.007141850683884418)	(45, 0.009327737065176324)	(50, 0.011963145431896485)	(55, 0.015352952692331192)	(60, 0.019692928476750172)	(65, 0.02540952637465818)	(70, 0.033537083381652275)	(75, 0.045331891870323195)	(80, 0.06421119178814982)	(85, 0.09395508271578615)	(90, 0.14135502510714335)	(95, 0.2171340822456896)	(100, 0.3307939393712677)	(105, 0.49564194358093827)	(110, 0.7227696290227853)	(115, 1.0256807358942992)	(120, 1.4072157942448715)	(125, 1.8740453113173552)	(130, 2.4283383397987186)	(135, 3.065450650466418)	(140, 3.4853353583644133)
SRR26436341_2 - polya	(1, 0.011303514002516326)	(2, 0.0173044142934275)	(3, 0.019760886724200493)	(4, 0.025144551556617947)	(5, 0.029025653303207256)	(6, 0.03248279534093219)	(7, 0.03619556014429593)	(8, 0.045151708994055836)	(9, 0.057343667974707066)	(10, 0.0768183818954241)	(15, 0.11326208316343771)	(20, 0.14273289416095258)	(25, 0.16899158689365967)	(30, 0.1931784882843722)	(35, 0.2169888136983876)	(40, 0.24343392400896305)	(45, 0.2708965376208129)	(50, 0.3008480441117608)	(55, 0.3355210901251055)	(60, 0.3612348699378899)	(65, 0.390931377133359)	(70, 0.4226279766024118)	(75, 0.4543289403625853)	(80, 0.4835509867662224)	(85, 0.5281640175419564)	(90, 0.5584740193749587)	(95, 0.586900517854315)	(100, 0.6090112636119122)	(105, 0.6312336105281664)	(110, 0.6555452059508979)	(115, 0.6803979734725917)	(120, 0.7053118410699746)	(125, 0.7338935836191943)	(130, 0.7624959006836973)	(135, 0.790128098179093)	(140, 0.8037122660272357)
SRR26436341_2 - polyg	(1, 0.16468964278900647)	(2, 0.1692472096592985)	(3, 0.16954024063454298)	(4, 0.16979274604938133)	(5, 0.17012630258503197)	(6, 0.17041309885867553)	(7, 0.1708370585675399)	(8, 0.17152287574364403)	(9, 0.17247678508858888)	(10, 0.17437213437527666)	(15, 0.17659605243633433)	(20, 0.1783679546313234)	(25, 0.18034435503882348)	(30, 0.1825863537345239)	(35, 0.18485266776646805)	(40, 0.1871557665378577)	(45, 0.18949939086965356)	(50, 0.19214352781861507)	(55, 0.19501273749537074)	(60, 0.198280968074587)	(65, 0.20181479694200358)	(70, 0.20606249914272853)	(75, 0.210866960196418)	(80, 0.2160149533083197)	(85, 0.22156633161380263)	(90, 0.22824993173001745)	(95, 0.23504388606456908)	(100, 0.2423384869376767)	(105, 0.25119550403198154)	(110, 0.2616666853707715)	(115, 0.2735045133004889)	(120, 0.2863093434485132)	(125, 0.3008573961641622)	(130, 0.3185246700907648)	(135, 0.33966903710021534)	(140, 0.35444590336461906)
SRR26436342_1 - illumina_universal_adapter	(1, 8.630656244414048e-05)	(2, 9.206033327374983e-05)	(3, 0.00014384427074023412)	(4, 0.00042386111778122324)	(5, 0.0005063318330056242)	(6, 0.000579212930180676)	(7, 0.0006712732634544259)	(8, 0.0007134675828715613)	(9, 0.0007729232147775247)	(10, 0.0009727708549259566)	(15, 0.0013375599255231903)	(20, 0.001766791229412049)	(25, 0.0023406339734850894)	(30, 0.003072897207733375)	(35, 0.004010378268237727)	(40, 0.005106663403639298)	(45, 0.0063395047000635975)	(50, 0.007827813421322553)	(55, 0.009575041829913932)	(60, 0.01199891368806737)	(65, 0.015142390484643952)	(70, 0.01968595151642548)	(75, 0.0267734464243383)	(80, 0.03827331638911755)	(85, 0.05759946543633145)	(90, 0.08915007598813343)	(95, 0.14009703159127054)	(100, 0.21906600188877118)	(105, 0.33761362738426676)	(110, 0.5077438083672102)	(115, 0.7449280510136994)	(120, 1.062406549172109)	(125, 1.4782173743932647)	(130, 2.000384351891418)	(135, 2.639382796838955)	(140, 3.0763782390852885)
SRR26436342_1 - polya	(1, 0.007385923821608555)	(2, 0.01930390113333942)	(3, 0.024616549532678732)	(4, 0.03499443418568416)	(5, 0.039110298252464724)	(6, 0.043256849097003204)	(7, 0.04927912923199434)	(8, 0.05823199664286651)	(9, 0.07459380295866568)	(10, 0.09932466073849264)	(15, 0.13653122801580062)	(20, 0.17602280948190746)	(25, 0.2264695706075905)	(30, 0.2664256731720078)	(35, 0.2982789320694472)	(40, 0.32802899593630347)	(45, 0.35750096087972855)	(50, 0.38593226047243834)	(55, 0.4182247238765379)	(60, 0.44424979650830504)	(65, 0.4752879378715497)	(70, 0.5123752103003238)	(75, 0.5449430875348007)	(80, 0.5719812074173011)	(85, 0.6043139472172079)	(90, 0.6357391255649244)	(95, 0.6686882860130434)	(100, 0.6972078100918072)	(105, 0.7254998684304403)	(110, 0.7518183833745176)	(115, 0.7749393360762198)	(120, 0.7980867561237383)	(125, 0.8231708954325034)	(130, 0.8527180429814353)	(135, 0.880117116087313)	(140, 0.8941148897615867)
SRR26436342_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000788266603656483)	(4, 0.0010682834506974721)	(5, 0.001233224881146274)	(6, 0.0014192634713036433)	(7, 0.0015726973600932264)	(8, 0.0018699755196230437)	(9, 0.0023571281165299697)	(10, 0.0033437080214469886)	(15, 0.0048653886135176785)	(20, 0.006381699019480732)	(25, 0.00800464597815255)	(30, 0.009180716735724704)	(35, 0.010753030511095957)	(40, 0.012626841877938739)	(45, 0.014906102295907993)	(50, 0.01734992055960408)	(55, 0.02056282619085795)	(60, 0.02374773013740772)	(65, 0.026865506757612047)	(70, 0.0364386306639161)	(75, 0.04509230199164859)	(80, 0.049613231524833656)	(85, 0.05357834679587846)	(90, 0.057385808746191966)	(95, 0.0608672236828276)	(100, 0.0646792886498048)	(105, 0.06935480282594537)	(110, 0.07429230536719414)	(115, 0.0795850073609908)	(120, 0.08519685184346981)	(125, 0.09127897119508888)	(130, 0.09832388819886259)	(135, 0.10663923780181406)	(140, 0.11231744244119454)
SRR26436342_2 - illumina_universal_adapter	(1, 8.247071522440089e-05)	(2, 8.438863883427069e-05)	(3, 0.00013233672908101538)	(4, 0.00032412909006799423)	(5, 0.0004104356525121347)	(6, 0.0004756450552477075)	(7, 0.0005581157704721084)	(8, 0.0005945563190596344)	(9, 0.0006482581801359885)	(10, 0.0008412012952888891)	(15, 0.0012167307381013937)	(20, 0.0016647576933669765)	(25, 0.002400473190113027)	(30, 0.0034066159158507177)	(35, 0.004737271316378377)	(40, 0.006345258470893208)	(45, 0.00810859743780749)	(50, 0.010150418912874867)	(55, 0.012626074708494788)	(60, 0.015740399066201356)	(65, 0.019585835903990278)	(70, 0.024946815978298308)	(75, 0.03290389745092609)	(80, 0.04532168565538902)	(85, 0.06568734929915235)	(90, 0.09839600212659369)	(95, 0.1505596884678322)	(100, 0.2308401349297618)	(105, 0.35113767392690254)	(110, 0.523330006375178)	(115, 0.7628080856590714)	(120, 1.082911837654671)	(125, 1.5009447691702218)	(130, 2.0261205852275386)	(135, 2.668105237235643)	(140, 3.1066660887323523)
