Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR26436341_1	(1, 36.30141864400228)	(2, 36.38023150693984)	(3, 36.52102556477045)	(4, 36.57305885683005)	(5, 36.60294564711838)	(6, 36.58992347527255)	(7, 36.58082112267025)	(8, 36.62660471867156)	(9, 36.63255885870046)	(10, 36.62678922219604)	(15, 36.59051299124773)	(20, 36.55033410518939)	(25, 36.49942417542954)	(30, 36.461479488455204)	(35, 36.43244131587118)	(40, 36.40235549520364)	(45, 36.37028795592814)	(50, 36.327989408488925)	(55, 36.30594219434064)	(60, 36.27291210442377)	(65, 36.24542324895288)	(70, 36.20390109019992)	(75, 36.16693949720873)	(80, 36.1359751759121)	(85, 36.10292556514453)	(90, 36.05586903635205)	(95, 36.002870244637215)	(100, 35.989391056694636)	(105, 35.939140945405214)	(110, 35.88528574884378)	(115, 35.81077410678547)	(120, 35.770699028508794)	(125, 35.69844990354917)	(130, 35.6423705083651)	(135, 35.594759296875296)	(140, 35.47772448354849)	(145, 35.41593761806966)	(150, 35.226963588095714)
SRR26436341_2	(1, 36.28518323164535)	(2, 36.186337648993785)	(3, 36.27340435281927)	(4, 36.286521447996975)	(5, 36.29578540406477)	(6, 36.2365589185536)	(7, 36.22354341783848)	(8, 36.32204440853256)	(9, 36.300999734401714)	(10, 36.27582479490949)	(15, 36.25290489710872)	(20, 36.213236358784634)	(25, 36.1568420737615)	(30, 36.10417698821517)	(35, 36.06593133349045)	(40, 36.02954741054138)	(45, 35.962049683090115)	(50, 35.922992818870696)	(55, 35.86528920910316)	(60, 35.82895459017436)	(65, 35.76084454644416)	(70, 35.70587209135583)	(75, 35.67552101530869)	(80, 35.600529351104726)	(85, 35.528415562812754)	(90, 35.492470226182505)	(95, 35.38765653777044)	(100, 35.32981827091774)	(105, 35.27876552284831)	(110, 35.171123879779984)	(115, 35.08275778308975)	(120, 35.046151081783066)	(125, 34.8949532709115)	(130, 34.77289919859146)	(135, 34.71916181295147)	(140, 34.531338178943415)	(145, 34.419396281374574)	(150, 34.02586628061394)
SRR26436342_1	(1, 36.34666716660542)	(2, 36.41847188669214)	(3, 36.54843815808754)	(4, 36.59616683787331)	(5, 36.622128542309014)	(6, 36.60495925179499)	(7, 36.59531911563775)	(8, 36.63708949722016)	(9, 36.64206731451569)	(10, 36.636719514412434)	(15, 36.59993316419805)	(20, 36.55958678719411)	(25, 36.51058617882874)	(30, 36.47235486880252)	(35, 36.44346011447702)	(40, 36.41513715071734)	(45, 36.38458993642467)	(50, 36.3444158464986)	(55, 36.321575324915436)	(60, 36.29008209096635)	(65, 36.26350949333828)	(70, 36.22210864193364)	(75, 36.182743896591695)	(80, 36.1511310532546)	(85, 36.11965347339801)	(90, 36.07223681293264)	(95, 36.01929117762811)	(100, 36.004796872710486)	(105, 35.95572589956372)	(110, 35.90035620828037)	(115, 35.82688963807247)	(120, 35.785887365716576)	(125, 35.714521535597044)	(130, 35.658575872674426)	(135, 35.611717634847295)	(140, 35.495367942137015)	(145, 35.43644584205669)	(150, 35.24702230852026)
SRR26436342_2	(1, 36.36816026246401)	(2, 36.44227483385028)	(3, 36.477711560399634)	(4, 36.478984582195686)	(5, 36.485021476908585)	(6, 36.4365795213323)	(7, 36.406264859113165)	(8, 36.487315140932864)	(9, 36.47689688398787)	(10, 36.45652603427867)	(15, 36.43333457870507)	(20, 36.40423120799268)	(25, 36.359034329298275)	(30, 36.31620972648108)	(35, 36.28371070654004)	(40, 36.25250376488405)	(45, 36.19657193019065)	(50, 36.16367391309351)	(55, 36.11267841100796)	(60, 36.08202759815357)	(65, 36.023144144233996)	(70, 35.97585129340932)	(75, 35.94937924484442)	(80, 35.88226107850215)	(85, 35.81940568150347)	(90, 35.78569103938418)	(95, 35.69487935493324)	(100, 35.64195863729226)	(105, 35.5956490100062)	(110, 35.49980037100314)	(115, 35.42060806617297)	(120, 35.38444198396156)	(125, 35.2509138982718)	(130, 35.14365357543155)	(135, 35.094324507304606)	(140, 34.93007782934009)	(145, 34.83135700383508)	(150, 34.470913652777575)
SRR26436343_1	(1, 36.42423843744573)	(2, 36.46420320788279)	(3, 36.581555040657214)	(4, 36.623903549039454)	(5, 36.64458263830129)	(6, 36.62901321938843)	(7, 36.616076386991075)	(8, 36.65529546962488)	(9, 36.65745402064652)	(10, 36.65138877953641)	(15, 36.61302726139962)	(20, 36.574038507600434)	(25, 36.52347501862836)	(30, 36.485201676794354)	(35, 36.45799834921962)	(40, 36.42609474483128)	(45, 36.39638374209635)	(50, 36.350278151651786)	(55, 36.330292107872204)	(60, 36.29564888330172)	(65, 36.269798885688644)	(70, 36.22780483154222)	(75, 36.19653442942568)	(80, 36.1638631692631)	(85, 36.13128936187583)	(90, 36.08636094250842)	(95, 36.03079004024555)	(100, 36.01846154740251)	(105, 35.966383353270466)	(110, 35.914589298155434)	(115, 35.83739920588192)	(120, 35.79959067841816)	(125, 35.72620014293848)	(130, 35.67316875804721)	(135, 35.62576406847487)	(140, 35.50945868378977)	(145, 35.447600004704654)	(150, 35.25480773528291)
SRR26436343_2	(1, 36.43615845554481)	(2, 36.40419890450727)	(3, 36.44856795147564)	(4, 36.45287110560082)	(5, 36.45577631303113)	(6, 36.40763872678201)	(7, 36.401150786265454)	(8, 36.46973878787334)	(9, 36.4492160868756)	(10, 36.429476384362005)	(15, 36.408520866182315)	(20, 36.37290841074681)	(25, 36.3221799212247)	(30, 36.27596197808599)	(35, 36.24140745009779)	(40, 36.20945675488125)	(45, 36.15105639566701)	(50, 36.11681271253106)	(55, 36.065586935450064)	(60, 36.034071891278195)	(65, 35.973061776962)	(70, 35.923809824011315)	(75, 35.89471650372186)	(80, 35.8235437536366)	(85, 35.75756524145603)	(90, 35.72322742094278)	(95, 35.630352274873616)	(100, 35.576995012373935)	(105, 35.528598797407184)	(110, 35.43023162538216)	(115, 35.3464082574996)	(120, 35.30770223685585)	(125, 35.16636598479151)	(130, 35.05085422004086)	(135, 34.99177672814774)	(140, 34.81342497078617)	(145, 34.698954213329806)	(150, 34.32840638809114)
SRR26436344_1	(1, 35.903463951064076)	(2, 35.88895771739787)	(3, 36.06437095098859)	(4, 36.12035204635782)	(5, 36.078959294182226)	(6, 36.16286475581041)	(7, 36.087939720818746)	(8, 36.157507050513985)	(9, 36.153476830351266)	(10, 36.1974683164975)	(15, 36.15458686464886)	(20, 36.14537941858897)	(25, 36.03670152295584)	(30, 35.97858446979199)	(35, 35.9875617902858)	(40, 35.944041520580896)	(45, 35.9092185234195)	(50, 35.78571888350534)	(55, 35.80671997818612)	(60, 35.773245453468306)	(65, 35.71509478516945)	(70, 35.59682396126432)	(75, 35.67907433611867)	(80, 35.66999971935271)	(85, 35.625472660719495)	(90, 35.56307277616794)	(95, 35.54848428704814)	(100, 35.53601307977932)	(105, 35.42725452085129)	(110, 35.49758787693348)	(115, 35.43807439112762)	(120, 35.34621919501863)	(125, 35.33140854633798)	(130, 35.19676444162876)	(135, 35.201144118481)	(140, 35.10246132103155)	(145, 35.01875951239917)	(150, 34.8647319215133)
SRR26436344_2	(1, 35.56249078352476)	(2, 35.57777587205152)	(3, 35.64878225525296)	(4, 35.76905313018013)	(5, 35.88600411965206)	(6, 35.77069752265054)	(7, 35.86040132145526)	(8, 35.82961325839295)	(9, 35.84417025351883)	(10, 35.904682929668986)	(15, 35.92396438869926)	(20, 35.89304091918267)	(25, 35.79884260223776)	(30, 35.77718790425295)	(35, 35.73749283105129)	(40, 35.73443939635452)	(45, 35.639651587203744)	(50, 35.60857408219411)	(55, 35.5595672100879)	(60, 35.317128982914674)	(65, 35.533560045269425)	(70, 35.466870840827355)	(75, 35.372664177426834)	(80, 35.2911060346177)	(85, 35.287407963258715)	(90, 35.213795367370565)	(95, 35.15445271941361)	(100, 35.12567075549181)	(105, 34.9694799590083)	(110, 35.031430586400916)	(115, 35.017527851246825)	(120, 34.86936953719855)	(125, 34.7818657942575)	(130, 34.79045918821638)	(135, 34.7875810082409)	(140, 34.67813899107847)	(145, 34.329350982165195)	(150, 34.067741754252985)
SRR26436345_1	(1, 36.3697679411948)	(2, 36.448483157142185)	(3, 36.567162341752855)	(4, 36.61058539989227)	(5, 36.63709095196194)	(6, 36.61824936259317)	(7, 36.61127875065217)	(8, 36.65272193372682)	(9, 36.65758431572865)	(10, 36.649991248018964)	(15, 36.6128303343099)	(20, 36.57258598666385)	(25, 36.52349875460381)	(30, 36.48559369370456)	(35, 36.45770259427202)	(40, 36.42697643006412)	(45, 36.39679138512019)	(50, 36.353158707736476)	(55, 36.33234209887721)	(60, 36.29994065784916)	(65, 36.27139855529758)	(70, 36.230693956016026)	(75, 36.19262501384932)	(80, 36.16264507070733)	(85, 36.12748370232354)	(90, 36.08353971364961)	(95, 36.02750773448575)	(100, 36.016847485713086)	(105, 35.9652555347404)	(110, 35.91280714973169)	(115, 35.83712942235685)	(120, 35.79802559365538)	(125, 35.72738945368816)	(130, 35.673619545467304)	(135, 35.62792895217316)	(140, 35.515448491971114)	(145, 35.458679520488374)	(150, 35.26646271301043)
SRR26436345_2	(1, 36.35663920321694)	(2, 36.433769392006134)	(3, 36.47258046609681)	(4, 36.47273826098982)	(5, 36.47857507154026)	(6, 36.430349706169004)	(7, 36.41646952636849)	(8, 36.49556417140718)	(9, 36.488749641157504)	(10, 36.457220517348595)	(15, 36.43389547463408)	(20, 36.40053097079814)	(25, 36.35479506782757)	(30, 36.31128904564183)	(35, 36.279044367077354)	(40, 36.249689616318335)	(45, 36.194831121706414)	(50, 36.16096081310356)	(55, 36.11191286746345)	(60, 36.08093457406706)	(65, 36.02424988309089)	(70, 35.976625928158015)	(75, 35.95015583485502)	(80, 35.883366080657765)	(85, 35.82115125575994)	(90, 35.78937046262194)	(95, 35.699155795068165)	(100, 35.64731666515822)	(105, 35.60023153470073)	(110, 35.50727758838008)	(115, 35.42747713580178)	(120, 35.389933583002424)	(125, 35.254344727965545)	(130, 35.142712681310556)	(135, 35.09013061697691)	(140, 34.921010405784216)	(145, 34.81214408432018)	(150, 34.44439088184465)
