Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR26436341_1	(0.0, 3118.0)	(1.0, 2279.5)	(2.0, 1242.0)	(3.0, 895.5)	(4.0, 692.0)	(5.0, 591.0)	(6.0, 525.0)	(7.0, 504.0)	(8.0, 515.5)	(9.0, 548.5)	(10.0, 623.5)	(11.0, 771.5)	(12.0, 937.0)	(13.0, 1259.0)	(14.0, 1725.0)	(15.0, 2320.0)	(16.0, 3541.0)	(17.0, 5409.0)	(18.0, 8697.0)	(19.0, 14123.0)	(20.0, 22191.0)	(21.0, 34242.5)	(22.0, 50416.5)	(23.0, 72514.0)	(24.0, 102569.0)	(25.0, 138126.0)	(26.0, 175088.5)	(27.0, 208510.0)	(28.0, 246485.0)	(29.0, 292546.0)	(30.0, 336241.5)	(31.0, 376208.5)	(32.0, 423676.5)	(33.0, 469703.5)	(34.0, 507844.5)	(35.0, 560986.5)	(36.0, 612768.5)	(37.0, 654657.5)	(38.0, 700130.5)	(39.0, 745326.5)	(40.0, 795212.0)	(41.0, 835214.0)	(42.0, 863567.0)	(43.0, 898606.5)	(44.0, 926619.5)	(45.0, 956497.5)	(46.0, 975761.5)	(47.0, 966769.0)	(48.0, 969516.5)	(49.0, 976027.5)	(50.0, 976098.0)	(51.0, 971590.5)	(52.0, 953628.5)	(53.0, 941175.0)	(54.0, 938766.5)	(55.0, 928647.0)	(56.0, 899113.0)	(57.0, 869045.0)	(58.0, 848269.5)	(59.0, 825860.5)	(60.0, 792355.5)	(61.0, 757823.5)	(62.0, 719397.5)	(63.0, 680679.5)	(64.0, 637244.5)	(65.0, 572861.5)	(66.0, 499480.5)	(67.0, 428322.5)	(68.0, 362489.5)	(69.0, 295772.5)	(70.0, 235948.5)	(71.0, 186571.5)	(72.0, 147541.5)	(73.0, 118928.5)	(74.0, 97104.0)	(75.0, 80247.5)	(76.0, 66565.5)	(77.0, 54721.5)	(78.0, 46745.5)	(79.0, 38926.0)	(80.0, 31297.0)	(81.0, 26097.0)	(82.0, 21631.0)	(83.0, 17899.5)	(84.0, 14404.5)	(85.0, 11432.0)	(86.0, 9406.5)	(87.0, 7599.0)	(88.0, 5920.0)	(89.0, 5016.0)	(90.0, 3844.0)	(91.0, 2622.0)	(92.0, 1939.0)	(93.0, 1447.5)	(94.0, 990.0)	(95.0, 649.0)	(96.0, 415.5)	(97.0, 330.5)	(98.0, 423.0)	(99.0, 347.5)	(100.0, 96.5)
SRR26436341_2	(0.0, 2418.0)	(1.0, 2005.0)	(2.0, 1537.5)	(3.0, 1489.0)	(4.0, 1549.5)	(5.0, 1661.0)	(6.0, 1758.5)	(7.0, 1790.5)	(8.0, 1783.0)	(9.0, 1810.5)	(10.0, 1885.0)	(11.0, 2011.0)	(12.0, 2186.5)	(13.0, 2390.0)	(14.0, 2701.5)	(15.0, 3366.0)	(16.0, 4468.5)	(17.0, 5918.5)	(18.0, 8407.0)	(19.0, 12735.5)	(20.0, 19051.5)	(21.0, 27379.0)	(22.0, 40123.0)	(23.0, 58262.5)	(24.0, 78980.0)	(25.0, 104389.5)	(26.0, 136210.5)	(27.0, 171026.5)	(28.0, 209007.5)	(29.0, 250671.5)	(30.0, 288433.0)	(31.0, 322325.0)	(32.0, 362374.0)	(33.0, 406775.5)	(34.0, 451543.5)	(35.0, 498968.0)	(36.0, 548206.5)	(37.0, 604691.5)	(38.0, 657542.5)	(39.0, 700850.5)	(40.0, 743244.5)	(41.0, 787036.0)	(42.0, 823725.5)	(43.0, 850084.5)	(44.0, 883558.0)	(45.0, 922584.0)	(46.0, 939900.0)	(47.0, 937494.5)	(48.0, 966421.0)	(49.0, 990707.0)	(50.0, 980407.0)	(51.0, 969244.5)	(52.0, 960377.5)	(53.0, 951099.0)	(54.0, 935286.0)	(55.0, 931230.5)	(56.0, 916676.5)	(57.0, 883212.5)	(58.0, 855481.5)	(59.0, 838537.0)	(60.0, 822892.5)	(61.0, 787691.0)	(62.0, 744171.0)	(63.0, 704652.0)	(64.0, 661152.0)	(65.0, 598686.5)	(66.0, 530204.0)	(67.0, 472261.0)	(68.0, 412415.5)	(69.0, 351952.0)	(70.0, 295121.5)	(71.0, 245392.0)	(72.0, 207014.0)	(73.0, 174733.0)	(74.0, 151120.0)	(75.0, 130111.5)	(76.0, 109647.5)	(77.0, 97517.0)	(78.0, 86928.5)	(79.0, 74175.0)	(80.0, 62740.5)	(81.0, 51364.5)	(82.0, 41935.0)	(83.0, 34985.5)	(84.0, 28805.5)	(85.0, 23332.5)	(86.0, 18822.0)	(87.0, 14111.0)	(88.0, 10425.5)	(89.0, 8488.5)	(90.0, 7030.0)	(91.0, 5908.5)	(92.0, 4726.5)	(93.0, 4023.0)	(94.0, 3659.0)	(95.0, 3432.0)	(96.0, 3166.5)	(97.0, 2780.0)	(98.0, 2674.5)	(99.0, 3019.0)	(100.0, 10573.0)
SRR26436342_1	(0.0, 2349.0)	(1.0, 1878.5)	(2.0, 1214.0)	(3.0, 883.0)	(4.0, 724.0)	(5.0, 664.5)	(6.0, 597.5)	(7.0, 581.0)	(8.0, 618.0)	(9.0, 708.5)	(10.0, 827.5)	(11.0, 954.5)	(12.0, 1216.5)	(13.0, 1677.0)	(14.0, 2244.0)	(15.0, 3054.5)	(16.0, 4813.5)	(17.0, 7543.0)	(18.0, 12352.5)	(19.0, 20124.0)	(20.0, 32356.0)	(21.0, 50233.5)	(22.0, 74004.5)	(23.0, 106785.0)	(24.0, 153537.5)	(25.0, 209618.0)	(26.0, 266370.0)	(27.0, 317991.0)	(28.0, 375102.0)	(29.0, 445946.0)	(30.0, 516595.5)	(31.0, 579622.0)	(32.0, 651930.5)	(33.0, 726351.5)	(34.0, 790864.0)	(35.0, 877093.0)	(36.0, 962935.0)	(37.0, 1034389.0)	(38.0, 1110397.0)	(39.0, 1191136.0)	(40.0, 1275338.0)	(41.0, 1343747.0)	(42.0, 1399018.5)	(43.0, 1466897.0)	(44.0, 1510908.0)	(45.0, 1550468.5)	(46.0, 1600308.0)	(47.0, 1600252.5)	(48.0, 1594204.5)	(49.0, 1598495.5)	(50.0, 1603850.5)	(51.0, 1597937.5)	(52.0, 1566558.5)	(53.0, 1545188.0)	(54.0, 1541544.5)	(55.0, 1532164.0)	(56.0, 1487652.5)	(57.0, 1435524.5)	(58.0, 1403396.0)	(59.0, 1368097.0)	(60.0, 1312742.5)	(61.0, 1254618.0)	(62.0, 1189055.5)	(63.0, 1130920.5)	(64.0, 1057755.5)	(65.0, 943920.0)	(66.0, 822653.0)	(67.0, 709076.0)	(68.0, 601721.5)	(69.0, 490752.5)	(70.0, 392019.0)	(71.0, 308195.5)	(72.0, 243009.5)	(73.0, 197148.0)	(74.0, 162098.5)	(75.0, 135805.0)	(76.0, 113047.5)	(77.0, 92449.5)	(78.0, 80284.0)	(79.0, 66740.0)	(80.0, 52637.5)	(81.0, 43801.0)	(82.0, 36297.5)	(83.0, 30096.0)	(84.0, 24353.0)	(85.0, 19278.5)	(86.0, 16005.5)	(87.0, 13040.5)	(88.0, 10254.5)	(89.0, 8641.0)	(90.0, 6603.5)	(91.0, 4649.0)	(92.0, 3364.5)	(93.0, 2557.5)	(94.0, 1884.5)	(95.0, 1191.5)	(96.0, 725.0)	(97.0, 514.0)	(98.0, 535.5)	(99.0, 439.0)	(100.0, 159.5)
SRR26436342_2	(0.0, 3154.0)	(1.0, 2515.5)	(2.0, 1809.0)	(3.0, 1861.0)	(4.0, 2128.0)	(5.0, 2414.5)	(6.0, 2518.0)	(7.0, 2571.5)	(8.0, 2654.0)	(9.0, 2708.5)	(10.0, 2869.0)	(11.0, 2999.0)	(12.0, 3199.5)	(13.0, 3523.5)	(14.0, 4067.0)	(15.0, 4997.0)	(16.0, 6516.0)	(17.0, 8669.0)	(18.0, 12372.0)	(19.0, 18646.0)	(20.0, 27625.5)	(21.0, 39875.0)	(22.0, 58897.5)	(23.0, 86288.5)	(24.0, 117705.5)	(25.0, 156337.0)	(26.0, 204867.5)	(27.0, 258746.5)	(28.0, 318600.5)	(29.0, 383070.0)	(30.0, 441089.0)	(31.0, 492232.5)	(32.0, 555123.0)	(33.0, 632874.5)	(34.0, 706645.5)	(35.0, 779750.5)	(36.0, 862944.0)	(37.0, 959888.5)	(38.0, 1045497.5)	(39.0, 1116681.0)	(40.0, 1194599.5)	(41.0, 1273899.5)	(42.0, 1333798.0)	(43.0, 1380665.0)	(44.0, 1442322.0)	(45.0, 1507170.0)	(46.0, 1539478.5)	(47.0, 1543959.5)	(48.0, 1593586.0)	(49.0, 1632688.0)	(50.0, 1623937.0)	(51.0, 1603545.5)	(52.0, 1580366.5)	(53.0, 1570580.0)	(54.0, 1548470.5)	(55.0, 1537936.5)	(56.0, 1509515.0)	(57.0, 1452050.0)	(58.0, 1412392.0)	(59.0, 1387916.0)	(60.0, 1354194.5)	(61.0, 1298932.0)	(62.0, 1232934.5)	(63.0, 1161706.5)	(64.0, 1083197.0)	(65.0, 983575.5)	(66.0, 881301.0)	(67.0, 788573.5)	(68.0, 683710.5)	(69.0, 577768.0)	(70.0, 479082.5)	(71.0, 394996.5)	(72.0, 337085.0)	(73.0, 286905.5)	(74.0, 247897.0)	(75.0, 212040.0)	(76.0, 177923.0)	(77.0, 158632.5)	(78.0, 140117.5)	(79.0, 119076.0)	(80.0, 100129.5)	(81.0, 82275.0)	(82.0, 66924.5)	(83.0, 55015.5)	(84.0, 45372.5)	(85.0, 36789.5)	(86.0, 29510.5)	(87.0, 22169.0)	(88.0, 16378.5)	(89.0, 13371.0)	(90.0, 11090.5)	(91.0, 9613.5)	(92.0, 7588.0)	(93.0, 5916.5)	(94.0, 5043.0)	(95.0, 4318.0)	(96.0, 3505.5)	(97.0, 2454.0)	(98.0, 1930.0)	(99.0, 1889.5)	(100.0, 7775.0)
SRR26436343_1	(0.0, 3191.0)	(1.0, 2393.0)	(2.0, 1308.0)	(3.0, 903.0)	(4.0, 734.0)	(5.0, 628.0)	(6.0, 552.5)	(7.0, 513.0)	(8.0, 544.0)	(9.0, 607.0)	(10.0, 661.5)	(11.0, 752.0)	(12.0, 931.0)	(13.0, 1266.0)	(14.0, 1700.0)	(15.0, 2326.5)	(16.0, 3573.5)	(17.0, 5521.5)	(18.0, 9012.0)	(19.0, 14455.5)	(20.0, 22944.5)	(21.0, 35589.5)	(22.0, 52059.0)	(23.0, 74742.5)	(24.0, 107132.0)	(25.0, 145171.5)	(26.0, 183781.0)	(27.0, 220350.5)	(28.0, 261499.0)	(29.0, 310564.0)	(30.0, 358722.5)	(31.0, 402705.0)	(32.0, 452465.5)	(33.0, 503915.0)	(34.0, 550326.5)	(35.0, 609774.0)	(36.0, 668346.5)	(37.0, 719381.0)	(38.0, 774200.0)	(39.0, 828528.5)	(40.0, 885356.0)	(41.0, 933867.0)	(42.0, 974192.5)	(43.0, 1018697.5)	(44.0, 1051770.0)	(45.0, 1085374.5)	(46.0, 1113481.5)	(47.0, 1114841.0)	(48.0, 1113317.5)	(49.0, 1114027.5)	(50.0, 1118503.5)	(51.0, 1108519.5)	(52.0, 1082476.0)	(53.0, 1066487.0)	(54.0, 1063893.0)	(55.0, 1059646.5)	(56.0, 1026771.0)	(57.0, 987287.0)	(58.0, 966839.5)	(59.0, 941692.5)	(60.0, 897165.0)	(61.0, 856901.5)	(62.0, 812201.0)	(63.0, 770106.5)	(64.0, 719934.0)	(65.0, 645745.5)	(66.0, 566185.5)	(67.0, 489189.0)	(68.0, 416951.5)	(69.0, 338843.0)	(70.0, 269616.5)	(71.0, 211612.0)	(72.0, 166664.0)	(73.0, 134776.0)	(74.0, 110921.5)	(75.0, 94445.5)	(76.0, 80407.5)	(77.0, 67039.5)	(78.0, 58682.0)	(79.0, 48712.5)	(80.0, 38042.5)	(81.0, 32387.0)	(82.0, 27682.5)	(83.0, 23283.0)	(84.0, 19192.0)	(85.0, 15561.0)	(86.0, 13092.5)	(87.0, 10983.5)	(88.0, 9014.5)	(89.0, 7988.5)	(90.0, 6166.0)	(91.0, 4338.5)	(92.0, 3251.5)	(93.0, 2490.0)	(94.0, 1831.5)	(95.0, 1203.5)	(96.0, 713.0)	(97.0, 508.0)	(98.0, 615.0)	(99.0, 545.0)	(100.0, 194.0)
SRR26436343_2	(0.0, 2749.0)	(1.0, 2226.5)	(2.0, 1678.5)	(3.0, 1681.0)	(4.0, 1815.0)	(5.0, 1998.0)	(6.0, 2111.0)	(7.0, 2214.5)	(8.0, 2279.5)	(9.0, 2283.5)	(10.0, 2312.0)	(11.0, 2417.0)	(12.0, 2609.5)	(13.0, 2860.0)	(14.0, 3149.5)	(15.0, 3691.5)	(16.0, 4841.0)	(17.0, 6478.5)	(18.0, 9207.0)	(19.0, 13834.5)	(20.0, 20280.5)	(21.0, 29168.0)	(22.0, 42666.0)	(23.0, 62455.0)	(24.0, 85702.5)	(25.0, 114194.0)	(26.0, 148766.0)	(27.0, 186342.0)	(28.0, 228976.5)	(29.0, 275601.5)	(30.0, 316141.0)	(31.0, 351399.5)	(32.0, 396416.0)	(33.0, 450646.0)	(34.0, 500786.5)	(35.0, 551832.0)	(36.0, 610290.5)	(37.0, 678411.5)	(38.0, 736914.0)	(39.0, 782956.5)	(40.0, 835065.0)	(41.0, 890251.5)	(42.0, 932951.0)	(43.0, 960029.5)	(44.0, 1001633.0)	(45.0, 1054153.0)	(46.0, 1075941.5)	(47.0, 1074812.5)	(48.0, 1110624.5)	(49.0, 1137952.0)	(50.0, 1127428.5)	(51.0, 1109659.5)	(52.0, 1091929.5)	(53.0, 1081535.0)	(54.0, 1069308.0)	(55.0, 1065098.5)	(56.0, 1040984.5)	(57.0, 994206.5)	(58.0, 967367.5)	(59.0, 951910.0)	(60.0, 922823.0)	(61.0, 880473.0)	(62.0, 832431.5)	(63.0, 784484.0)	(64.0, 731988.5)	(65.0, 667771.0)	(66.0, 598831.0)	(67.0, 533199.0)	(68.0, 461174.0)	(69.0, 388379.0)	(70.0, 321266.5)	(71.0, 262901.0)	(72.0, 223080.5)	(73.0, 190712.5)	(74.0, 165133.5)	(75.0, 140009.5)	(76.0, 117858.0)	(77.0, 107565.5)	(78.0, 95489.5)	(79.0, 80834.0)	(80.0, 68978.5)	(81.0, 57281.5)	(82.0, 46300.5)	(83.0, 38650.0)	(84.0, 32427.0)	(85.0, 27062.0)	(86.0, 22412.0)	(87.0, 17014.0)	(88.0, 13031.0)	(89.0, 11341.5)	(90.0, 9944.5)	(91.0, 8952.5)	(92.0, 7298.5)	(93.0, 5864.0)	(94.0, 5263.0)	(95.0, 5171.0)	(96.0, 4874.5)	(97.0, 4068.0)	(98.0, 3606.5)	(99.0, 3681.5)	(100.0, 11450.5)
SRR26436344_1	(0.0, 6311.0)	(1.0, 5524.5)	(2.0, 4328.5)	(3.0, 3567.5)	(4.0, 3007.0)	(5.0, 2614.0)	(6.0, 2295.0)	(7.0, 2034.5)	(8.0, 1902.0)	(9.0, 1896.5)	(10.0, 1931.5)	(11.0, 2164.0)	(12.0, 2536.5)	(13.0, 3094.5)	(14.0, 4078.5)	(15.0, 5503.5)	(16.0, 7950.0)	(17.0, 11682.5)	(18.0, 18388.0)	(19.0, 29062.0)	(20.0, 45960.0)	(21.0, 71679.0)	(22.0, 105796.5)	(23.0, 150230.5)	(24.0, 214206.0)	(25.0, 284605.0)	(26.0, 357392.0)	(27.0, 443283.5)	(28.0, 540381.5)	(29.0, 650733.0)	(30.0, 757009.5)	(31.0, 855709.0)	(32.0, 965728.5)	(33.0, 1071256.0)	(34.0, 1168150.5)	(35.0, 1298057.5)	(36.0, 1426655.0)	(37.0, 1521633.5)	(38.0, 1618750.5)	(39.0, 1732684.5)	(40.0, 1845695.0)	(41.0, 1937023.5)	(42.0, 2003388.5)	(43.0, 2062559.5)	(44.0, 2114061.0)	(45.0, 2185002.5)	(46.0, 2247267.0)	(47.0, 2246229.0)	(48.0, 2232381.5)	(49.0, 2239788.5)	(50.0, 2245584.5)	(51.0, 2248119.0)	(52.0, 2241625.5)	(53.0, 2235525.5)	(54.0, 2255275.0)	(55.0, 2261422.0)	(56.0, 2217135.5)	(57.0, 2164209.0)	(58.0, 2126214.0)	(59.0, 2086554.0)	(60.0, 2027042.5)	(61.0, 1954305.5)	(62.0, 1870713.0)	(63.0, 1770470.5)	(64.0, 1653999.0)	(65.0, 1510692.0)	(66.0, 1323249.0)	(67.0, 1134068.5)	(68.0, 963697.5)	(69.0, 779016.5)	(70.0, 623631.0)	(71.0, 498602.0)	(72.0, 393291.5)	(73.0, 309102.5)	(74.0, 247922.5)	(75.0, 205252.5)	(76.0, 167715.5)	(77.0, 135479.5)	(78.0, 116929.0)	(79.0, 102080.0)	(80.0, 81746.5)	(81.0, 63860.0)	(82.0, 51198.0)	(83.0, 41369.0)	(84.0, 32154.5)	(85.0, 24297.0)	(86.0, 19051.5)	(87.0, 14836.0)	(88.0, 11582.5)	(89.0, 9385.0)	(90.0, 6941.5)	(91.0, 4934.0)	(92.0, 3594.0)	(93.0, 2611.0)	(94.0, 1878.5)	(95.0, 1209.0)	(96.0, 668.0)	(97.0, 374.0)	(98.0, 279.5)	(99.0, 164.5)	(100.0, 56.0)
SRR26436344_2	(0.0, 6930.0)	(1.0, 5877.5)	(2.0, 4315.0)	(3.0, 3716.5)	(4.0, 3428.0)	(5.0, 3247.0)	(6.0, 3220.5)	(7.0, 3193.0)	(8.0, 3238.0)	(9.0, 3316.0)	(10.0, 3513.0)	(11.0, 3881.5)	(12.0, 4400.0)	(13.0, 5125.0)	(14.0, 6156.0)	(15.0, 7635.5)	(16.0, 10137.0)	(17.0, 13702.0)	(18.0, 19955.5)	(19.0, 29918.5)	(20.0, 43855.5)	(21.0, 63735.0)	(22.0, 93099.0)	(23.0, 134186.5)	(24.0, 184245.5)	(25.0, 246436.0)	(26.0, 321541.0)	(27.0, 408289.0)	(28.0, 505492.0)	(29.0, 600995.5)	(30.0, 686165.5)	(31.0, 777697.5)	(32.0, 879808.5)	(33.0, 981762.0)	(34.0, 1085979.0)	(35.0, 1204281.5)	(36.0, 1330362.0)	(37.0, 1451004.5)	(38.0, 1559629.5)	(39.0, 1670322.5)	(40.0, 1783333.5)	(41.0, 1883518.5)	(42.0, 1949767.5)	(43.0, 1992934.5)	(44.0, 2045179.0)	(45.0, 2099685.5)	(46.0, 2129271.0)	(47.0, 2139507.0)	(48.0, 2211236.5)	(49.0, 2264290.5)	(50.0, 2255596.0)	(51.0, 2249231.0)	(52.0, 2238041.5)	(53.0, 2228543.5)	(54.0, 2226334.0)	(55.0, 2244251.5)	(56.0, 2228143.5)	(57.0, 2175882.0)	(58.0, 2135845.5)	(59.0, 2102997.0)	(60.0, 2058486.5)	(61.0, 1981623.0)	(62.0, 1885924.0)	(63.0, 1780218.5)	(64.0, 1661565.5)	(65.0, 1511018.0)	(66.0, 1335962.5)	(67.0, 1173460.5)	(68.0, 1027226.0)	(69.0, 881069.0)	(70.0, 722326.0)	(71.0, 594862.0)	(72.0, 499613.5)	(73.0, 412438.0)	(74.0, 355507.5)	(75.0, 303302.5)	(76.0, 248639.0)	(77.0, 214994.0)	(78.0, 191299.0)	(79.0, 164383.0)	(80.0, 137438.0)	(81.0, 112022.5)	(82.0, 90598.5)	(83.0, 73929.0)	(84.0, 59539.5)	(85.0, 47025.5)	(86.0, 36868.0)	(87.0, 27914.5)	(88.0, 21163.5)	(89.0, 17304.0)	(90.0, 14784.0)	(91.0, 12904.0)	(92.0, 10813.0)	(93.0, 9590.0)	(94.0, 9510.5)	(95.0, 9789.0)	(96.0, 10365.0)	(97.0, 11283.5)	(98.0, 13054.0)	(99.0, 16895.0)	(100.0, 30134.0)
SRR26436345_1	(0.0, 2636.0)	(1.0, 2066.5)	(2.0, 1272.5)	(3.0, 896.5)	(4.0, 694.5)	(5.0, 602.0)	(6.0, 534.0)	(7.0, 519.5)	(8.0, 560.5)	(9.0, 624.5)	(10.0, 701.0)	(11.0, 851.0)	(12.0, 1098.5)	(13.0, 1461.5)	(14.0, 1941.5)	(15.0, 2694.0)	(16.0, 4393.0)	(17.0, 6827.0)	(18.0, 10977.0)	(19.0, 17886.5)	(20.0, 30139.5)	(21.0, 47280.5)	(22.0, 67830.0)	(23.0, 95932.5)	(24.0, 136892.5)	(25.0, 186781.0)	(26.0, 237692.0)	(27.0, 283805.0)	(28.0, 335530.5)	(29.0, 399816.0)	(30.0, 457316.5)	(31.0, 508306.5)	(32.0, 568714.0)	(33.0, 630855.0)	(34.0, 683504.0)	(35.0, 754786.0)	(36.0, 825979.5)	(37.0, 874536.5)	(38.0, 930323.5)	(39.0, 992692.5)	(40.0, 1051083.0)	(41.0, 1099711.0)	(42.0, 1133792.5)	(43.0, 1172270.0)	(44.0, 1208279.5)	(45.0, 1247862.0)	(46.0, 1284695.0)	(47.0, 1286685.0)	(48.0, 1278768.0)	(49.0, 1282599.0)	(50.0, 1290110.5)	(51.0, 1296378.0)	(52.0, 1288094.0)	(53.0, 1279481.0)	(54.0, 1293566.5)	(55.0, 1299743.0)	(56.0, 1275730.0)	(57.0, 1244358.0)	(58.0, 1224141.5)	(59.0, 1202421.5)	(60.0, 1163884.0)	(61.0, 1127118.0)	(62.0, 1080173.0)	(63.0, 1034091.5)	(64.0, 968726.0)	(65.0, 867829.0)	(66.0, 754947.0)	(67.0, 643333.5)	(68.0, 547588.5)	(69.0, 443486.5)	(70.0, 352088.5)	(71.0, 281108.5)	(72.0, 226278.0)	(73.0, 182895.5)	(74.0, 149035.0)	(75.0, 123490.5)	(76.0, 100694.0)	(77.0, 82372.0)	(78.0, 72456.0)	(79.0, 62417.5)	(80.0, 49522.5)	(81.0, 40470.0)	(82.0, 33602.0)	(83.0, 27564.0)	(84.0, 21843.5)	(85.0, 17068.0)	(86.0, 13886.0)	(87.0, 11334.5)	(88.0, 9184.0)	(89.0, 7661.5)	(90.0, 5684.0)	(91.0, 3934.0)	(92.0, 2874.0)	(93.0, 2145.0)	(94.0, 1545.0)	(95.0, 992.0)	(96.0, 558.5)	(97.0, 374.5)	(98.0, 362.0)	(99.0, 266.0)	(100.0, 88.0)
SRR26436345_2	(0.0, 2457.0)	(1.0, 2021.5)	(2.0, 1601.5)	(3.0, 1675.0)	(4.0, 1866.5)	(5.0, 2110.5)	(6.0, 2311.5)	(7.0, 2418.0)	(8.0, 2448.5)	(9.0, 2450.5)	(10.0, 2496.5)	(11.0, 2601.0)	(12.0, 2813.5)	(13.0, 3163.0)	(14.0, 3641.5)	(15.0, 4325.5)	(16.0, 5637.0)	(17.0, 7525.5)	(18.0, 10850.5)	(19.0, 16477.5)	(20.0, 24822.0)	(21.0, 35927.5)	(22.0, 52558.0)	(23.0, 77266.0)	(24.0, 106254.5)	(25.0, 142012.0)	(26.0, 186400.5)	(27.0, 234577.5)	(28.0, 289492.5)	(29.0, 346244.5)	(30.0, 393281.5)	(31.0, 440698.5)	(32.0, 497142.5)	(33.0, 557306.0)	(34.0, 615068.0)	(35.0, 677315.0)	(36.0, 746343.5)	(37.0, 816532.5)	(38.0, 877461.0)	(39.0, 936352.5)	(40.0, 1000710.5)	(41.0, 1060128.5)	(42.0, 1095385.5)	(43.0, 1122461.0)	(44.0, 1155889.0)	(45.0, 1189355.0)	(46.0, 1217738.0)	(47.0, 1231422.5)	(48.0, 1286776.5)	(49.0, 1321052.5)	(50.0, 1305246.0)	(51.0, 1299266.0)	(52.0, 1293734.0)	(53.0, 1289548.0)	(54.0, 1281893.0)	(55.0, 1292327.5)	(56.0, 1289680.5)	(57.0, 1250937.0)	(58.0, 1227770.5)	(59.0, 1223491.5)	(60.0, 1202975.5)	(61.0, 1160651.5)	(62.0, 1107380.0)	(63.0, 1044982.5)	(64.0, 979472.5)	(65.0, 900239.0)	(66.0, 809605.5)	(67.0, 714256.0)	(68.0, 613003.5)	(69.0, 519726.0)	(70.0, 431221.0)	(71.0, 356042.0)	(72.0, 302155.0)	(73.0, 257048.5)	(74.0, 223197.0)	(75.0, 187701.5)	(76.0, 153148.0)	(77.0, 135950.0)	(78.0, 122057.5)	(79.0, 104464.5)	(80.0, 87001.5)	(81.0, 71605.5)	(82.0, 57768.5)	(83.0, 47201.0)	(84.0, 38126.0)	(85.0, 30563.0)	(86.0, 24943.0)	(87.0, 18630.5)	(88.0, 13838.0)	(89.0, 11674.5)	(90.0, 9780.5)	(91.0, 8298.0)	(92.0, 6490.0)	(93.0, 4946.5)	(94.0, 4190.0)	(95.0, 4057.5)	(96.0, 3636.5)	(97.0, 2784.0)	(98.0, 2426.5)	(99.0, 2404.0)	(100.0, 9733.5)
