Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR26436341_1	(13.0, 3.0)	(14.0, 41.0)	(15.0, 161.0)	(16.0, 460.0)	(17.0, 946.0)	(18.0, 1674.0)	(19.0, 2903.0)	(20.0, 4906.0)	(21.0, 8333.0)	(22.0, 12674.0)	(23.0, 19597.0)	(24.0, 29427.0)	(25.0, 44813.0)	(26.0, 64654.0)	(27.0, 94877.0)	(28.0, 130615.0)	(29.0, 182756.0)	(30.0, 246656.0)	(31.0, 337560.0)	(32.0, 461353.0)	(33.0, 700531.0)	(34.0, 1169710.0)	(35.0, 2976445.0)	(36.0, 21967880.0)	(37.0, 3619545.0)		
SRR26436341_2	(11.0, 23.0)	(12.0, 977.0)	(13.0, 5083.0)	(14.0, 7657.0)	(15.0, 7910.0)	(16.0, 7441.0)	(17.0, 8212.0)	(18.0, 10224.0)	(19.0, 14553.0)	(20.0, 21956.0)	(21.0, 32720.0)	(22.0, 45609.0)	(23.0, 61041.0)	(24.0, 75421.0)	(25.0, 93007.0)	(26.0, 112199.0)	(27.0, 139584.0)	(28.0, 173226.0)	(29.0, 225533.0)	(30.0, 301415.0)	(31.0, 436568.0)	(32.0, 663153.0)	(33.0, 1169009.0)	(34.0, 2357303.0)	(35.0, 6309959.0)	(36.0, 18807399.0)	(37.0, 991338.0)
SRR26436342_1	(13.0, 6.0)	(14.0, 37.0)	(15.0, 258.0)	(16.0, 634.0)	(17.0, 1378.0)	(18.0, 2741.0)	(19.0, 4342.0)	(20.0, 7015.0)	(21.0, 12342.0)	(22.0, 18773.0)	(23.0, 28543.0)	(24.0, 42377.0)	(25.0, 65240.0)	(26.0, 95755.0)	(27.0, 142997.0)	(28.0, 203014.0)	(29.0, 286578.0)	(30.0, 389473.0)	(31.0, 536371.0)	(32.0, 744045.0)	(33.0, 1106865.0)	(34.0, 1879540.0)	(35.0, 4850074.0)	(36.0, 36003519.0)	(37.0, 5717803.0)		
SRR26436342_2	(11.0, 10.0)	(12.0, 476.0)	(13.0, 3292.0)	(14.0, 7097.0)	(15.0, 8822.0)	(16.0, 9386.0)	(17.0, 10346.0)	(18.0, 12320.0)	(19.0, 16970.0)	(20.0, 24308.0)	(21.0, 37823.0)	(22.0, 54642.0)	(23.0, 73583.0)	(24.0, 92620.0)	(25.0, 114724.0)	(26.0, 139080.0)	(27.0, 173571.0)	(28.0, 216454.0)	(29.0, 281807.0)	(30.0, 373679.0)	(31.0, 532966.0)	(32.0, 803911.0)	(33.0, 1404733.0)	(34.0, 2860941.0)	(35.0, 8212292.0)	(36.0, 34049671.0)	(37.0, 2624196.0)
SRR26436343_1	(13.0, 5.0)	(14.0, 57.0)	(15.0, 250.0)	(16.0, 673.0)	(17.0, 1415.0)	(18.0, 2722.0)	(19.0, 4124.0)	(20.0, 6148.0)	(21.0, 10276.0)	(22.0, 15000.0)	(23.0, 21335.0)	(24.0, 31593.0)	(25.0, 48170.0)	(26.0, 70632.0)	(27.0, 104549.0)	(28.0, 144732.0)	(29.0, 200512.0)	(30.0, 268055.0)	(31.0, 365512.0)	(32.0, 494872.0)	(33.0, 744166.0)	(34.0, 1232167.0)	(35.0, 3167052.0)	(36.0, 25000809.0)	(37.0, 4199599.0)		
SRR26436343_2	(11.0, 19.0)	(12.0, 1021.0)	(13.0, 5638.0)	(14.0, 9096.0)	(15.0, 9897.0)	(16.0, 8983.0)	(17.0, 9410.0)	(18.0, 10756.0)	(19.0, 14360.0)	(20.0, 20215.0)	(21.0, 30185.0)	(22.0, 42471.0)	(23.0, 56746.0)	(24.0, 69109.0)	(25.0, 84889.0)	(26.0, 101691.0)	(27.0, 126715.0)	(28.0, 155273.0)	(29.0, 201600.0)	(30.0, 263726.0)	(31.0, 375531.0)	(32.0, 565865.0)	(33.0, 997325.0)	(34.0, 2063674.0)	(35.0, 6064449.0)	(36.0, 23267613.0)	(37.0, 1578168.0)
SRR26436344_1	(13.0, 2.0)	(14.0, 25.0)	(15.0, 137.0)	(16.0, 432.0)	(17.0, 1044.0)	(18.0, 2590.0)	(19.0, 5502.0)	(20.0, 10833.0)	(21.0, 21735.0)	(22.0, 37876.0)	(23.0, 66836.0)	(24.0, 114089.0)	(25.0, 191640.0)	(26.0, 296547.0)	(27.0, 456323.0)	(28.0, 658911.0)	(29.0, 933782.0)	(30.0, 1241149.0)	(31.0, 1637324.0)	(32.0, 2164651.0)	(33.0, 2828994.0)	(34.0, 4027911.0)	(35.0, 8512744.0)	(36.0, 48184837.0)	(37.0, 5355228.0)		
SRR26436344_2	(11.0, 41.0)	(12.0, 1906.0)	(13.0, 7256.0)	(14.0, 9826.0)	(15.0, 9756.0)	(16.0, 10070.0)	(17.0, 12474.0)	(18.0, 18558.0)	(19.0, 31504.0)	(20.0, 53583.0)	(21.0, 90868.0)	(22.0, 144148.0)	(23.0, 214638.0)	(24.0, 284462.0)	(25.0, 358741.0)	(26.0, 434556.0)	(27.0, 539856.0)	(28.0, 666180.0)	(29.0, 854710.0)	(30.0, 1106726.0)	(31.0, 1506789.0)	(32.0, 2065535.0)	(33.0, 3242803.0)	(34.0, 5857684.0)	(35.0, 14529575.0)	(36.0, 41963519.0)	(37.0, 2735378.0)
SRR26436345_1	(13.0, 9.0)	(14.0, 51.0)	(15.0, 263.0)	(16.0, 635.0)	(17.0, 1322.0)	(18.0, 2585.0)	(19.0, 4006.0)	(20.0, 6579.0)	(21.0, 11203.0)	(22.0, 16421.0)	(23.0, 24736.0)	(24.0, 36618.0)	(25.0, 55586.0)	(26.0, 80942.0)	(27.0, 120206.0)	(28.0, 168768.0)	(29.0, 239272.0)	(30.0, 325188.0)	(31.0, 447256.0)	(32.0, 614764.0)	(33.0, 928801.0)	(34.0, 1566490.0)	(35.0, 4033928.0)	(36.0, 30626584.0)	(37.0, 5049172.0)		
SRR26436345_2	(11.0, 9.0)	(12.0, 383.0)	(13.0, 2656.0)	(14.0, 5646.0)	(15.0, 7315.0)	(16.0, 7766.0)	(17.0, 8784.0)	(18.0, 10457.0)	(19.0, 14904.0)	(20.0, 21713.0)	(21.0, 32984.0)	(22.0, 46260.0)	(23.0, 62638.0)	(24.0, 77287.0)	(25.0, 96050.0)	(26.0, 116080.0)	(27.0, 146467.0)	(28.0, 181416.0)	(29.0, 235694.0)	(30.0, 313841.0)	(31.0, 449526.0)	(32.0, 678558.0)	(33.0, 1187371.0)	(34.0, 2440148.0)	(35.0, 7081440.0)	(36.0, 28994337.0)	(37.0, 2141655.0)
SRR26436346_1	(13.0, 6.0)	(14.0, 71.0)	(15.0, 302.0)	(16.0, 750.0)	(17.0, 1623.0)	(18.0, 2938.0)	(19.0, 4447.0)	(20.0, 7193.0)	(21.0, 11877.0)	(22.0, 17463.0)	(23.0, 26062.0)	(24.0, 39035.0)	(25.0, 59540.0)	(26.0, 88628.0)	(27.0, 130980.0)	(28.0, 182988.0)	(29.0, 255897.0)	(30.0, 346251.0)	(31.0, 478781.0)	(32.0, 661402.0)	(33.0, 989441.0)	(34.0, 1689337.0)	(35.0, 4410122.0)	(36.0, 31755676.0)	(37.0, 4738896.0)		
SRR26436346_2	(11.0, 20.0)	(12.0, 777.0)	(13.0, 4719.0)	(14.0, 8303.0)	(15.0, 9838.0)	(16.0, 10039.0)	(17.0, 10932.0)	(18.0, 13275.0)	(19.0, 18427.0)	(20.0, 26958.0)	(21.0, 41169.0)	(22.0, 58283.0)	(23.0, 78493.0)	(24.0, 98047.0)	(25.0, 122774.0)	(26.0, 146433.0)	(27.0, 182311.0)	(28.0, 224554.0)	(29.0, 291813.0)	(30.0, 388024.0)	(31.0, 556817.0)	(32.0, 841835.0)	(33.0, 1477223.0)	(34.0, 3001038.0)	(35.0, 8353673.0)	(36.0, 28262191.0)	(37.0, 1671740.0)
SRR26436347_1	(13.0, 7.0)	(14.0, 97.0)	(15.0, 405.0)	(16.0, 1055.0)	(17.0, 2305.0)	(18.0, 4451.0)	(19.0, 7857.0)	(20.0, 13161.0)	(21.0, 23813.0)	(22.0, 37237.0)	(23.0, 57843.0)	(24.0, 87700.0)	(25.0, 138826.0)	(26.0, 209653.0)	(27.0, 318648.0)	(28.0, 453255.0)	(29.0, 643080.0)	(30.0, 868885.0)	(31.0, 1186286.0)	(32.0, 1607255.0)	(33.0, 2389466.0)	(34.0, 4044570.0)	(35.0, 10403601.0)	(36.0, 73096079.0)	(37.0, 11023612.0)		
