Sample	Unique Reads	Duplicate Reads
SRR26436341_1	11940581.0	20137939.0
SRR26436341_2	11969207.0	20109313.0
SRR26436342_1	16680334.0	35459386.0
SRR26436342_2	16338474.0	35801246.0
SRR26436343_1	12437737.0	23696688.0
SRR26436343_2	12266262.0	23868163.0
SRR26436344_1	26701960.0	50049182.0
SRR26436344_2	26612831.0	50138311.0
SRR26436345_1	14981555.0	29379830.0
SRR26436345_2	14755528.0	29605857.0
SRR26436346_1	15015559.0	30884147.0
SRR26436346_2	14938006.0	30961700.0
SRR26436347_1	25436827.0	81182320.0
SRR26436347_2	25648322.0	80970825.0
SRR26436348_1	17570050.0	35315366.0
SRR26436348_2	17450710.0	35434706.0
