Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR26436341_1	(1.0, 22.69380254972921)	(2.0, 13.655843010944821)	(3.0, 8.8062637584279)	(4.0, 5.800928308388036)	(5.0, 4.061990307771638)	(6.0, 3.1788985457750782)	(7.0, 2.6182643454432575)	(8.0, 2.0631783015185374)	(9.0, 1.7703772990761653)	('>10', 18.419684543510304)	('>50', 5.094557379425351)	('>100', 8.169467230629905)	('>500', 1.9602063937946674)	('>1k', 1.6306059124623646)	('>5k', 0.07593211310277616)	('>10k+', 0.0)
SRR26436341_2	(1.0, 23.219587415432507)	(2.0, 13.154306680311864)	(3.0, 8.361816357442063)	(4.0, 5.707265489094718)	(5.0, 4.096087070828613)	(6.0, 3.167363196451398)	(7.0, 2.526639341734159)	(8.0, 2.0872585980605316)	(9.0, 1.7628747033009544)	('>10', 18.264825095876976)	('>50', 4.860467233987996)	('>100', 8.394817186478795)	('>500', 2.177320019905196)	('>1k', 1.9208530949517442)	('>5k', 0.1858375548532953)	('>10k+', 0.11268096128909501)
SRR26436342_1	(1.0, 19.07947877000065)	(2.0, 11.37464994573733)	(3.0, 7.460910539133659)	(4.0, 5.202045344404968)	(5.0, 3.9480347793049897)	(6.0, 3.0963822628173814)	(7.0, 2.5194618922022505)	(8.0, 2.1003074897886114)	(9.0, 1.8291411998837048)	('>10', 21.1133862361488)	('>50', 5.843488638831404)	('>100', 10.188025013187016)	('>500', 2.877241650359775)	('>1k', 3.129561954948313)	('>5k', 0.21423933157471228)	('>10k+', 0.023644951676609016)
SRR26436342_2	(1.0, 18.724133742442657)	(2.0, 10.989870995930787)	(3.0, 7.2284828195531805)	(4.0, 5.105045493214945)	(5.0, 3.9389984050849924)	(6.0, 3.109594244484621)	(7.0, 2.5281977173473975)	(8.0, 2.1493183589387375)	(9.0, 1.817820843257712)	('>10', 20.900891878396127)	('>50', 5.8772760637282095)	('>100', 10.285568507464646)	('>500', 3.1631772715287423)	('>1k', 3.6407012755253785)	('>5k', 0.31889467417473627)	('>10k+', 0.22202770892733198)
SRR26436343_1	(1.0, 20.76917554770197)	(2.0, 12.562291904812723)	(3.0, 8.054375344343383)	(4.0, 5.513151404303958)	(5.0, 3.9300251841134046)	(6.0, 3.1770770304135345)	(7.0, 2.4625501306567146)	(8.0, 2.0675145142693574)	(9.0, 1.7065999989193261)	('>10', 19.23084115378829)	('>50', 5.467825823338541)	('>100', 9.602143907463349)	('>500', 2.7423489618357664)	('>1k', 2.564500013226002)	('>5k', 0.14957908081358517)	('>10k+', 0.0)
SRR26436343_2	(1.0, 20.714157308310337)	(2.0, 11.964018440193433)	(3.0, 7.999935012202811)	(4.0, 5.365736494695915)	(5.0, 3.7930814666856203)	(6.0, 2.962303279538471)	(7.0, 2.472589692595429)	(8.0, 2.035597530728983)	(9.0, 1.6709535665898938)	('>10', 19.146325494737226)	('>50', 5.550619306919273)	('>100', 9.911349761968767)	('>500', 3.007609407906372)	('>1k', 3.004452202130716)	('>5k', 0.2226419618055333)	('>10k+', 0.1786290729910516)
SRR26436344_1	(1.0, 23.49881639148994)	(2.0, 9.821528825636186)	(3.0, 5.958011641302248)	(4.0, 4.291264448545049)	(5.0, 3.380575927658911)	(6.0, 2.833773781298811)	(7.0, 2.318632195148133)	(8.0, 2.0834806750549566)	(9.0, 1.8298377251216025)	('>10', 22.7341032827689)	('>50', 6.324965521634095)	('>100', 9.713203881428425)	('>500', 2.2864515812178925)	('>1k', 2.3897234194962182)	('>5k', 0.24118885736118678)	('>10k+', 0.2944418448376817)
SRR26436344_2	(1.0, 23.53559383934572)	(2.0, 9.315632371169484)	(3.0, 5.927628790047203)	(4.0, 4.581946978922842)	(5.0, 3.5495122411785376)	(6.0, 2.8575988043405074)	(7.0, 2.4128214092296667)	(8.0, 2.0501748275053076)	(9.0, 1.8526630785229061)	('>10', 22.45579632379021)	('>50', 6.205975247985144)	('>100', 9.449611920460242)	('>500', 2.4398933338866673)	('>1k', 2.658960516301625)	('>5k', 0.3591009906953795)	('>10k+', 0.34708932661837916)
SRR26436345_1	(1.0, 20.94462371087602)	(2.0, 11.416130614887686)	(3.0, 7.255406513625608)	(4.0, 5.013605513921364)	(5.0, 3.753151275503128)	(6.0, 3.063753995139544)	(7.0, 2.610849454084172)	(8.0, 2.230034493509569)	(9.0, 1.8341188534571808)	('>10', 21.62703648100296)	('>50', 5.940487717042735)	('>100', 9.130313496389306)	('>500', 2.401287014631031)	('>1k', 2.537317762186911)	('>5k', 0.24188310374294997)	('>10k+', 0.0)
SRR26436345_2	(1.0, 20.618104626045998)	(2.0, 11.236541062632938)	(3.0, 6.9579312980959696)	(4.0, 5.034971034458175)	(5.0, 3.882102319968187)	(6.0, 3.0747795168588476)	(7.0, 2.545488219588216)	(8.0, 2.286000624947579)	(9.0, 1.8541354302515825)	('>10', 21.16978962953717)	('>50', 5.945440937182249)	('>100', 9.383538493479133)	('>500', 2.6622021570463983)	('>1k', 2.6949318525758605)	('>5k', 0.36853198901675305)	('>10k+', 0.28551080831512315)
