Module	Section	Sample Name	Source
FastQC	all_sections	SRR26436341_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436341_1_fastqc.zip
FastQC	all_sections	SRR26436341_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436341_2_fastqc.zip
FastQC	all_sections	SRR26436342_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436342_1_fastqc.zip
FastQC	all_sections	SRR26436342_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436342_2_fastqc.zip
FastQC	all_sections	SRR26436343_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436343_1_fastqc.zip
FastQC	all_sections	SRR26436343_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436343_2_fastqc.zip
FastQC	all_sections	SRR26436344_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436344_1_fastqc.zip
FastQC	all_sections	SRR26436344_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436344_2_fastqc.zip
FastQC	all_sections	SRR26436345_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436345_1_fastqc.zip
FastQC	all_sections	SRR26436345_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436345_2_fastqc.zip
FastQC	all_sections	SRR26436346_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436346_1_fastqc.zip
FastQC	all_sections	SRR26436346_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436346_2_fastqc.zip
FastQC	all_sections	SRR26436347_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436347_1_fastqc.zip
FastQC	all_sections	SRR26436347_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436347_2_fastqc.zip
FastQC	all_sections	SRR26436348_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436348_1_fastqc.zip
FastQC	all_sections	SRR26436348_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc_GSE245922/SRR26436348_2_fastqc.zip
