UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1936
0	1788
0	1614
0	1299
0	1962
0	1791
0	1769
0	1807
0	1798
0	1751
0	1749
0	1715
0	1631
0	1802
0	1739
1	1554
0	1742
0	1743
0	1742
0	1670
0	1753
0	1629
0	1801
0	1841
1	1645
0	1575
0	1629
0	1658
0	1588
0	1834
0	1717
0	1324
0	1728
0	1550
0	1149
0	1195
0	1424
0	1648
0	1527
0	1456
0	1699
0	1422
0	1790
0	1027
0	1444
0	1800
0	1733
0	1655
11	1769
0	1507
0	1680
0	1693
0	1787
0	1610
0	1621
1	1611
0	1760
0	1659
0	1742
0	1796
0	1599
0	1507
0	1687
0	1723
0	312
1	344
0	339
0	288
9	307
0	317
2	318
21	56
0	114
2	97
0	84
0	103
0	93
0	91
0	94
0	80
0	90
24	98
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
46	509
0	468
126	460
12	324
0	9207
0	5259
0	11809
6926	11809
3	4158
0	3757
0	3508
1	3911
0	0
0	173
0	175
0	165
2	173
0	157
0	160
0	173
0	190
0	171
3	173
0	162
0	161
0	151
0	171
1	145
0	187
0	58
0	175
0	159
0	162
0	181
0	174
0	173
0	159
0	173
0	159
0	173
0	163
0	156
2	159
0	161
0	167
0	173
0	173
0	173
0	162
0	152
0	107
6	36
1	64
0	51
0	48
0	58
0	22
0	4
0	12
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	0
0	0
0	6
0	3
0	8
0	8
0	6
0	4
0	6
0	6
0	7
0	2
0	6
2	4343
14	2787
1	4331
13	1815
0	4308
0	4334
7	4347
0	3459
0	3933
0	4340
1	4311
0	4070
0	3577
0	4812
15	4094
4	3250
0	2403
7	710
707	0
1	0
76	1555
0	1649
2	1572
0	1588
0	1793
0	1551
0	1585
0	1579
0	1628
1	1542
2	1644
0	1404
1	1427
0	618
0	1575
0	1149
40	1207
11	1121
12	865
9	881
3	661
2	667
0	551
5	429
0	37
1	174
0	172
4	188
3	37
0	33
2	41
0	53
0	43
6	55
0	55
0	1
0	52
4	15
0	2189
1	2086
0	1340
20	2292
0	2209
0	2009
0	2346
0	2271
0	1888
0	1987
1	2011
0	1924
0	1954
0	1631
0	1840
0	1430
0	1347
0	173
0	150
0	161
2	131
10	75
0	1667
0	1663
0	1429
0	1489
0	1284
0	1803
2	1509
0	1433
5	1503
10	1151
0	1671
0	1432
0	1172
0	1236
0	1255
0	1507
0	1097
0	304
15	256
9	195
1	161
2	231
