"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","119/1398","348/11099",0.341954022988506,2.71484098794666,12.3383401835491,2.29708393286935e-26,1.13797538034348e-22,1.04263430721396e-22,"CLU/IFI27/CXCL10/IFIH1/PARP9/TRIM25/TRIM13/TLR7/HSPB1/RNF216/IL12RB1/IFI44L/DDX60L/GBP5/ADARB1/STAT2/MOV10/AIM2/STAT1/GBP2/LILRB1/APOBEC3F/IL27/CUL1/PML/IFITM1/IRF2/RSAD2/USP18/IFI6/CCL8/IFIT1/IVNS1ABP/OAS1/MX1/IFI44/CD2AP/IFIT3/OASL/IFITM3/APOBEC3C/HERC5/OAS3/EIF2AK2/NMI/IL15/TRIM22/MAP3K14/IRF7/IRF1/OAS2/ZC3HAV1/DTX3L/IL23A/IFI16/CD40/ADAR/RPSA/FOSL1/IFNGR2/CCL4/IFITM2/RPS15A/AP1S1/DHX58/ZDHHC1/ZMYND11/SMAD3/TRIM26/SIN3A/NT5C3A/RTP4/SLFN13/PLSCR1/BATF3/JAK2/LGALS8/APOBEC3G/DDX41/CASP1/ZNFX1/TPT1/TRIM5/ACOD1/TRIM34/ZBP1/NLRC5/IFIT5/MX2/RNASE2/BST2/SAMHD1/TRIM7/UBE2F/DDX60/CDK6/SPN/RAB2B/CALR/MICB/TRIM6/POLR3D/XPR1/BCL3/C1QBP/IL1B/ISG20/PCBP2/NT5C2/APOBEC3A/EEF1G/PHB2/SEC11A/POLR3C/UBE2N/ACTA2/DDX56/POLR3B/RIOK3",119
"GO:0051607","defense response to virus","96/1398","268/11099",0.358208955223881,2.8438921273461,11.599421304792,4.17548349083548e-23,1.03426726067995e-19,9.47614990130662e-20,"IFI27/CXCL10/IFIH1/PARP9/TRIM25/TRIM13/TLR7/RNF216/IL12RB1/IFI44L/DDX60L/GBP5/ADARB1/STAT2/MOV10/AIM2/STAT1/GBP2/LILRB1/APOBEC3F/IL27/CUL1/PML/IFITM1/IRF2/RSAD2/USP18/IFI6/IFIT1/OAS1/MX1/IFIT3/OASL/IFITM3/APOBEC3C/HERC5/OAS3/EIF2AK2/IL15/TRIM22/MAP3K14/IRF7/IRF1/OAS2/ZC3HAV1/DTX3L/IL23A/IFI16/CD40/ADAR/RPSA/IFNGR2/IFITM2/DHX58/ZDHHC1/ZMYND11/TRIM26/SIN3A/NT5C3A/RTP4/SLFN13/PLSCR1/APOBEC3G/DDX41/CASP1/ZNFX1/TRIM5/ACOD1/TRIM34/ZBP1/NLRC5/IFIT5/MX2/RNASE2/BST2/SAMHD1/TRIM7/UBE2F/DDX60/SPN/RAB2B/MICB/TRIM6/POLR3D/C1QBP/IL1B/ISG20/PCBP2/NT5C2/APOBEC3A/PHB2/POLR3C/UBE2N/DDX56/POLR3B/RIOK3",96
"GO:0002181","cytoplasmic translation","70/1398","192/11099",0.364583333333333,2.89449958273724,10.0521778863325,1.27040969083796e-17,2.09786986947042e-14,1.92210757434852e-14,"RPL13/RPS5/RPL29/RPS13/RPLP2/RPL31/RPS24/RPS11/RPS3/RPL23A/RPL21/RPLP0/RPL30/EIF3F/RPL6/RPL13A/RPL39/RPLP1/RPL36A/RPL37/RPL19/RPL9/RPL18A/RPS8/RPL17/RPSA/RPL34/RPS15A/RPL5/RPS12/RPL27/RPL18/RPL3/EIF3E/RPS3A/RACK1/RPL11/RPS20/RPL7A/RPL10A/RPL7/RPS6/RPS14/RPL41/RPS7/RPL12/AKT2/RPS23/GTPBP1/RPL22/RPL4/EIF3C/RPS21/EIF3L/RPS2/EIF2S3/EIF3D/RPL35/RPS25/RPL15/RPL14/RPL24/EEF2/UBA52/RPS15/EIF3K/PABPC1/RPS16/RPL37A/EIF3CL",70
"GO:0045071","negative regulation of viral genome replication","26/1398","42/11099",0.619047619047619,4.91474214864773,9.64887867955104,7.18249262082473e-14,8.89551711089143e-11,8.15023899499901e-11,"IFIH1/APOBEC3F/IFITM1/RSAD2/IFIT1/OAS1/MX1/OASL/IFITM3/APOBEC3C/OAS3/EIF2AK2/OAS2/ZC3HAV1/IFI16/IFITM2/SRPK2/PLSCR1/APOBEC3G/ZNFX1/IFIT5/BST2/TRIM6/ISG20/APOBEC3A/N4BP1",26
"GO:0016032","viral process","86/1398","315/11099",0.273015873015873,2.1675273065831,7.97994830140141,8.75504852503986e-13,8.67450207860949e-10,7.94774089262566e-10,"GAS6/STOM/IFIH1/PARP9/TRIM25/TRIM13/CR1/CCR5/CTSL/GBP5/ADARB1/STAT1/GBP2/SIGLEC1/APOBEC3F/USP6NL/IFITM1/RSAD2/CCL8/IFIT1/PARP10/OAS1/MX1/PCSK5/OASL/IFITM3/SCARB1/APOBEC3C/OAS3/NECTIN2/EIF2AK2/TRIM14/EIF3F/IRF7/TP53/OAS2/ZC3HAV1/IFI16/LDLR/CCL2/CD81/ADAR/RPSA/EDEM2/PKN2/IFITM2/NMT2/LAMP1/SRPK2/ST6GALNAC3/SLC7A1/SCARB2/PLSCR1/SMARCB1/SELPLG/WWP2/APOBEC3G/ZNFX1/TRIM5/IFIT5/PRMT1/BST2/LARP1/HCFC1/TPCN1/TPCN2/EIF3L/TRIM6/XPR1/EIF3D/AXL/ISG20/PCBP2/APOBEC3A/MVB12B/SP100/ST3GAL2/ITGB7/CD80/TFRC/DDX56/OAZ2/DEK/SSB/PABPC1/N4BP1",86
"GO:0048525","negative regulation of viral process","30/1398","62/11099",0.483870967741935,3.84154783331026,8.51712435569529,5.93483707908194e-12,4.90019714829532e-09,4.48965219035111e-09,"IFIH1/TRIM13/STAT1/APOBEC3F/IFITM1/RSAD2/IFIT1/OAS1/MX1/OASL/IFITM3/APOBEC3C/OAS3/EIF2AK2/TRIM14/OAS2/ZC3HAV1/IFI16/IFITM2/SRPK2/PLSCR1/APOBEC3G/ZNFX1/IFIT5/BST2/TRIM6/ISG20/APOBEC3A/SP100/N4BP1",30
"GO:0045069","regulation of viral genome replication","31/1398","68/11099",0.455882352941176,3.61934065471682,8.22444671798873,1.88328346405947e-11,1.33282661156438e-08,1.22116064616909e-08,"IFIH1/ADARB1/APOBEC3F/IFITM1/RSAD2/IFIT1/OAS1/MX1/OASL/IFITM3/APOBEC3C/OAS3/EIF2AK2/OAS2/ZC3HAV1/IFI16/ADAR/PKN2/IFITM2/SRPK2/PLSCR1/APOBEC3G/ZNFX1/IFIT5/BST2/LARP1/TRIM6/ISG20/APOBEC3A/PABPC1/N4BP1",31
"GO:0019079","viral genome replication","38/1398","97/11099",0.391752577319588,3.11020161349793,7.9239493570925,2.95142415464402e-11,1.80151879657398e-08,1.65058518386567e-08,"GAS6/IFIH1/ADARB1/APOBEC3F/IFITM1/RSAD2/CCL8/IFIT1/OAS1/MX1/OASL/IFITM3/APOBEC3C/OAS3/EIF2AK2/OAS2/ZC3HAV1/IFI16/CCL2/ADAR/PKN2/IFITM2/SRPK2/PLSCR1/SMARCB1/APOBEC3G/ZNFX1/IFIT5/BST2/LARP1/TRIM6/ISG20/PCBP2/APOBEC3A/DDX56/DEK/PABPC1/N4BP1",38
"GO:0002831","regulation of response to biotic stimulus","115/1398","500/11099",0.23,1.82601573676681,7.17477970608583,3.27284399862047e-11,1.80151879657398e-08,1.65058518386567e-08,"PIM1/IFIH1/PARP9/TRIM25/TLR7/TLR1/CR1/RNF216/IL12RB1/CD274/PIK3AP1/NCF1/SERPING1/GSDMD/GBP5/STAT2/AIM2/STAT1/GBP2/LILRB1/APOBEC3F/IL4I1/IL27/CD300A/PARP14/FFAR2/HLA-B/PML/RSAD2/USP18/IFI35/OAS1/SPI1/OASL/IPO5/HERC5/OAS3/NECTIN2/XPNPEP1/EIF2AK2/NMI/IL15/RAB13/EP300/HLA-A/TRIM22/IRF7/IRF1/LAG3/ZC3HAV1/DTX3L/PPP2CA/IL23A/IFI16/LY96/PRKCA/S100A9/HLA-F/ADAR/FOSL1/CFP/LAMP1/DHX58/ZDHHC1/ALPK1/SIN3A/CYLD/APP/SMPDL3A/PLSCR1/S100A8/APOBEC3G/DDX41/CASP1/ZNFX1/TRIM5/ACOD1/ZBP1/OPTN/NLRC5/SAMHD1/MR1/WDFY1/TIFA/DDX60/ZDHHC12/TRAFD1/IRAK4/SPN/LYPLAL1/HLA-C/PTPN1/MICB/TRIM6/POLR3D/C1QBP/IL1B/CD300E/PCBP2/NT5C2/CASP4/PHB2/TNIP2/MAPK8/IRF4/POLR3C/HLA-E/PTPN6/RALB/DDX56/AHR/N4BP1/POLR3B/CREBBP/RIOK3",115
"GO:0019058","viral life cycle","67/1398","235/11099",0.285106382978723,2.26351626944267,7.43168998632159,3.88768475871816e-11,1.92595902946898e-08,1.76459965048344e-08,"GAS6/IFIH1/TRIM25/CR1/CCR5/CTSL/GBP5/ADARB1/GBP2/SIGLEC1/APOBEC3F/USP6NL/IFITM1/RSAD2/CCL8/IFIT1/OAS1/MX1/PCSK5/OASL/IFITM3/SCARB1/APOBEC3C/OAS3/NECTIN2/EIF2AK2/OAS2/ZC3HAV1/IFI16/LDLR/CCL2/CD81/ADAR/RPSA/PKN2/IFITM2/NMT2/LAMP1/SRPK2/SLC7A1/SCARB2/PLSCR1/SMARCB1/SELPLG/WWP2/APOBEC3G/ZNFX1/TRIM5/IFIT5/BST2/LARP1/TPCN1/TPCN2/TRIM6/XPR1/AXL/ISG20/PCBP2/APOBEC3A/MVB12B/ITGB7/CD80/TFRC/DDX56/DEK/PABPC1/N4BP1",67
