"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",172,-0.690630128691515,-2.23059811758326,1e-10,3.21e-08,2.73684210526316e-08,1168,"tags=47%, list=8%, signal=43%","51373/200916/51263/6209/51116/2197/6233/6204/64432/6161/6235/6132/23107/6157/64951/51187/7311/6169/6171/6230/6165/55037/11224/6224/6152/9045/6136/6222/6167/6143/6134/6142/6135/6168/6170/6227/6217/6160/6147/6156/6210/6159/6155/6181/6187/6138/3921/84311/6141/6130/6146/6188/6206/6205/10399/6229/6208/64968/6164/23521/6124/6139/6207/6133/6144/6228/4736/6202/6201/6176/6173/6129/6128/6122/6193/6189/6137/6125/6175/6194"
"hsa04610","Complement and coagulation cascades",58,0.876155490745439,1.92402069777634,2.15713153950979e-07,3.46219612091321e-05,2.95186421196076e-05,507,"tags=19%, list=3%, signal=18%","714/710/713/629/717/1191/712/719/1378/3689/5265"
"hsa05164","Influenza A",148,0.749602566778151,1.81444248928078,1.18102849640037e-06,0.000126370049114839,0.000107742950548805,1722,"tags=32%, list=12%, signal=29%","91543/3627/6347/4599/4940/4939/3665/4938/6772/5610/4600/64135/9021/8743/6773/5371/51284/103/3553/355/5578/7706/1021/3717/3460/834/4615/2033/208/3383/51135/3454/8717/896/29110/581/7132/3661/3113/1147/3455/148022/5970/1387/4793/60/29108/4792"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",91,0.79562540520187,1.84283446700916,1.4231673896614e-05,0.000761394553468848,0.000649164072477129,338,"tags=11%, list=2%, signal=11%","6355/6373/3627/6347/6351/8743/1234/1230/1524/3561"
"hsa05150","Staphylococcus aureus infection",64,0.820925878276785,1.82432089879611,1.27836380420226e-05,0.000761394553468848,0.000649164072477129,1047,"tags=22%, list=7%, signal=20%","714/713/629/717/712/2209/719/2214/3689/2358/3683/6404/727/3383"
"hsa04060","Cytokine-cytokine receptor interaction",231,0.680594442161064,1.69985737585723,1.10870712713786e-05,0.000761394553468848,0.000649164072477129,957,"tags=14%, list=6%, signal=13%","6355/6373/3627/6347/4804/6351/246778/958/8743/50615/3574/3601/1234/3594/3600/1230/1524/3561/3553/355/94/3557/285613/1439/10673/9966/3460/659/3572/84957/729230/4055"
"hsa05322","Systemic lupus erythematosus",48,0.847774782605559,1.81967807820474,2.87241987856975e-05,0.0013172096871727,0.00112305138109494,741,"tags=21%, list=5%, signal=20%","714/713/717/712/2209/941/958/2214/6741/6737"
"hsa05160","Hepatitis C",128,0.719893657773352,1.7290072573811,5.40595772670222e-05,0.00216914053783926,0.00184940659071392,1275,"tags=24%, list=9%, signal=22%","91543/3434/3627/4599/4940/4939/3665/1026/4938/6772/5610/4600/9021/6773/1870/3949/355/975/1021/10062/6774/8837/5925/208/6654/5518/4893/3454/8717/29110/581"
"hsa04514","Cell adhesion molecule (CAM) interaction",128,0.711203495485995,1.70813562793915,0.000100654168107115,0.00358999866248711,0.0030608285038421,1214,"tags=18%, list=8%, signal=17%","6614/80380/29126/941/958/9672/5819/3695/3689/3105/139065/3107/6402/3384/3683/3106/3134/2734/6693/6404/3383/3133/5788"
"hsa05162","Measles",118,0.719880728611145,1.70807569391804,0.000143729432645546,0.00419428617083822,0.00357604330027197,1749,"tags=32%, list=12%, signal=29%","4599/4940/4939/3665/4938/6772/5610/4600/64135/6773/51284/3718/103/3561/3553/355/1021/3310/6774/4615/208/598/51135/3454/8717/896/29110/581/7097/3661/1147/3455/23118/27113/5970/4793/4792/4179"
"hsa05169","Epstein-Barr virus infection",184,0.673101447360171,1.66115883473244,0.000131180934629436,0.00419428617083822,0.00357604330027197,1730,"tags=30%, list=12%, signal=27%","3627/4940/4939/3665/1026/4938/6772/5610/29760/6891/958/6890/6773/1643/1870/3718/6892/355/3105/3107/1021/3683/3106/6774/3134/811/4615/4193/55080/5701/5925/208/3383/4616/51135/3133/3454/8717/896/29110/581/7097/864/3661/3113/1147/3455/23118/51426/5970/5608/4793/695/4792/9612"
"hsa04621","NOD-like receptor signaling pathway",158,0.685085040514425,1.66614425681511,0.000197408011744962,0.00528066431417774,0.00450228798716581,1759,"tags=35%, list=12%, signal=31%","6347/115362/4940/9447/4939/115361/3665/2634/4938/6772/838/6773/3428/3553/79792/7205/84557/10616/1508/10392/51393/24145/834/4615/257397/1536/8767/11035/837/84674/598/51135/5027/3454/5585/29110/55072/1535/330/7295/3661/2635/1147/331/10135/3455/23118/3320/148022/58484/5970/4793/29108/4792/90550"
"hsa05168","Herpes simplex virus 1 infection",161,0.689080863042424,1.68202292877365,0.000253180037640817,0.0062515993909771,0.00533010605559615,1605,"tags=31%, list=11%, signal=28%","6347/4940/4939/3665/4938/6772/5610/64135/9021/6891/6890/6773/5371/56829/5819/3553/6892/355/3105/684/3107/3717/3460/3106/6672/3134/811/1616/4615/55080/727/208/598/3054/51135/3133/3454/8717/29110/581/330/7097/972/7132/3661/3113/1147/3455/23118/148022"
"hsa05202","Transcriptional misregulation in cancer",156,0.676323413233547,1.64699105899105,0.000352289752592176,0.00807750075586347,0.00688686734390721,1384,"tags=23%, list=9%, signal=21%","51513/3728/2209/4804/1026/958/5371/1643/597/4086/6692/64332/3695/4353/4005/861/2521/2322/1051/604/4193/3398/1848/598/6688/2005/2130/4616/648/4094/929/581/472/330/51274/84444"
"hsa04630","JAK-STAT signaling pathway",128,0.685877456407667,1.6473087198336,0.000438915200533841,0.00939278529142421,0.0080082773430736,1223,"tags=22%, list=8%, signal=20%","8651/1026/246778/6772/9021/50615/5292/6773/3574/3601/3718/3594/3600/3561/4170/1439/3717/3460/6774/3572/2033/208/598/6654/3566/3454/5777/896"
"hsa04062","Chemokine signaling pathway",177,0.648920284812025,1.59952305260223,0.000733238207306988,0.0147105915340964,0.012542232493409,1740,"tags=19%, list=12%, signal=17%","6355/6373/3627/6347/6351/6772/6773/1234/3718/653361/1230/1524/2793/3717/6774/113/59345/729230/208/2185/2790/6654/4893/2776/6464/7454/2787/1147/5880/5970/4793/4792/3055/408"
"hsa05165","Human papillomavirus infection",283,0.60289348457361,1.52221057111588,0.000828553691752986,0.0156450432383946,0.0133389448827106,1660,"tags=19%, list=11%, signal=17%","3679/8638/4599/57801/1026/6772/7855/5610/4600/6773/10207/3659/6934/3695/355/3105/3107/1021/5933/3106/3134/10312/1856/2033/4193/5925/208/3672/6654/10474/5518/3996/3133/4855/4893/3454/8717/528/896/29110/581/472/3676/9550/7132/3661/9114/1147/50855/3455/148022/8992/5970/1387"
"hsa04620","Toll-like receptor signaling pathway",91,0.726986042153085,1.68385137874571,0.00120812617811221,0.0215449168430011,0.0183691699596008,1732,"tags=33%, list=12%, signal=29%","6373/3627/3665/6351/6772/941/958/6773/51284/3553/23643/7096/1326/4615/208/54472/51135/3454/929/29110/7097/3661/1147/3455/23118/148022/5970/5608/4792/51311"
"hsa05133","Pertussis",70,0.725423973198894,1.62806082725322,0.00241640200740662,0.0407998533671343,0.0347859054777994,1090,"tags=27%, list=7%, signal=25%","714/710/713/717/712/3659/3553/840/3689/23643/10392/834/91860/4615/808/3394/727/801/51135"
"hsa04820","Cytoskeleton in muscle cells",179,0.615930926085793,1.5219146305261,0.00254204693876226,0.0407998533671343,0.0347859054777994,1712,"tags=15%, list=11%, signal=13%","3679/375790/482/3728/9672/51332/6645/4001/3695/6711/7138/4621/10398/23345/6641/6709/3672/25777/7170/1730/3676/5339/23224/84033/829/60"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",173,0.615905053941229,1.51746010928845,0.00276103910707809,0.0422044549224794,0.0359834670596643,1733,"tags=29%, list=12%, signal=26%","3665/1026/6772/5610/6773/1870/1234/1230/6934/2793/355/3105/84557/3107/1021/4277/3717/3106/6774/3134/3572/91860/7316/808/59345/2033/5925/208/2790/3383/801/3133/4893/3454/8717/29110/64422/581/7132/2787/3661/1147/3455/148022/5970/1387/9976/9261/5608/4792/3055"
