"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"A1BG",252.064726656781,201.091489223982,314.282280504705,80.4283622883374,110.231734359567,216.849640048641,158.640427097465,66.7581194151231
"A1CF",0,0,0,0,0,0,0,0
"A2M",0,8.57736209960112,0,0,0,14.8092437106389,14.3751843324564,7.18933593701325
"A2ML1",0,0,0,0,0,0,0,0
"A3GALT2",3.09281873198504,0,0,1.36319258115826,2.3705749324638,0,2.56699720222435,0
"A4GALT",0,1.90608046657803,0,0,0,0,0,0
"A4GNT",1.54640936599252,0,0,0,0,0,0,0
"AAAS",968.052263111318,880.609175559048,944.28192042053,775.656578679051,866.445137815518,1106.46206580916,871.238850434946,891.477656189643
"AACS",422.169756915958,414.572501480721,406.127330515213,374.196363527943,487.15314862131,484.473829962329,727.487007110382,299.898013372553
"AADAC",0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0
"AAED1",408.252072622025,345.000564450623,440.569224269153,598.441543128477,482.411998756383,442.161705074789,424.067937807463,375.899564706693
"AAGAB",496.397406483599,534.655570875136,520.933643028347,542.550647300988,573.679133656239,652.664526390299,552.931197359126,620.336986565144
"AAK1",1902.0835201708,1867.95885724647,1726.39992441626,2919.958508841,2595.77955104786,1569.77983332772,2667.1100931111,2156.80078110398
"AAMDC",105.155836887491,112.458747528104,140.63773282859,118.597754560769,168.31082020493,132.225390273561,130.403457872997,114.00232700121
"AAMP",3804.1670403416,4124.75812967485,3772.82244496288,3103.98950729736,2969.14510291091,3638.84274032841,4024.0248142069,3976.72982115933
"AANAT",0,0,0,0,0,0,0,0
"AAR2",1105.68269668465,1069.31114175027,1072.00394309139,1301.16731871556,1182.91689129944,1187.91290621768,963.650749715022,1040.39961488492
"AARD",0,0,0,0.681596290579131,0,0,0,0
"AARS",468.562037895734,374.544811682582,561.115852407944,381.012326433734,231.13105591522,465.433373762936,147.859038848123,167.408822533309
"AARS2",558.2537811233,428.868104980056,536.719510998903,273.320112522231,485.967861155079,462.259964396371,348.084820621622,369.737276760682
"AARSD1",428.355394379928,332.611041417866,371.685436761272,326.484623187404,336.621640409859,370.231092765972,295.204678255801,388.224140598716
"AASDH",470.108447261726,569.91805950683,483.621591461578,387.828289339525,567.75269632508,471.780192496067,584.248563226263,453.955212022837
"AASDHPPT",1554.14141282248,1347.59888987066,1511.13808845413,1523.36770944436,1564.57945542611,1515.83187409611,1351.2673272509,1386.51478785256
"AASS",0,0,14.3507890641418,0,0,10.5780312218849,0,12.3245758920227
"AATF",2455.69807319612,2518.88533658286,2542.95982216593,2977.21259724964,2812.6871573683,2327.16686881468,2984.90434674648,2519.34872192764
"AATK",1326.81923602158,1846.03893188082,1005.99031339634,1490.65108749656,880.668587410301,2275.33451582744,1191.60010127254,1136.9421260391
"AATK-AS1",0,0,0,0,0,0,0,0
"ABAT",831.968238903976,1186.53509044482,1199.72596576225,1419.76507327633,1296.7044880577,1529.58331468456,1343.05293620378,1175.96994969717
"ABC13-47488600E17.1",21.6497311238953,8.57736209960112,7.1753945320709,35.4430071101148,28.4468991895656,9.52022809969642,54.4203406871563,34.9196316940644
"ABC7-42404400C24.1",18.5569123919102,6.67128163302309,12.9157101577276,12.9503295210035,5.9264373311595,9.52022809969642,12.8349860111218,10.2704799100189
"ABCA1",27.8353685878654,202.99756969056,167.904232050459,354.430071101148,178.978407401017,165.017287061405,206.386575058838,230.058749984424
"ABCA10",0,4.76520116644507,11.4806312513134,5.45277032463304,7.11172479739139,6.34681873313095,8.7277904875628,4.10819196400757
"ABCA12",0,0,0,0,0,0,0.513399440444871,0
"ABCA13",43.2994622477906,19.0608046657803,28.7015781282836,38.1693922724313,40.2997738518846,14.8092437106389,24.1297737009089,60.5958314691117
"ABCA2",957.22739754937,1294.22863680648,1225.55738607771,1470.20319877918,1329.89253711219,949.907203725265,1435.9782349243,937.694815784729
