sample,condition
GSM3747758,normal
GSM3747759,tumor
GSM3747760,normal
GSM3747761,tumor
GSM3747762,normal
GSM3747763,tumor
GSM3747764,normal
GSM3747765,tumor
GSM3747766,normal
GSM3747767,tumor
GSM3747768,normal
GSM3747769,tumor
GSM3747770,normal
GSM3747771,tumor
GSM3747772,normal
GSM3747773,tumor
GSM3747774,normal
GSM3747775,tumor
GSM3747776,normal
GSM3747777,tumor
GSM3747778,normal
GSM3747779,tumor
GSM3747780,normal
GSM3747781,tumor
GSM3747782,normal
GSM3747783,tumor
GSM3747784,normal
GSM3747785,tumor
GSM4490231,normal
GSM4490232,tumor
