"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CTRB1",34788.057763711,-7.85285277391896,1.01129185396638,6.34909626940306e-31,1.4752125181958e-26
"FAM24B-CUZD1",3918.00857715974,-6.86236933085813,0.835429035652241,4.24540563225227e-29,4.93209999326908e-25
"CPA1",83044.0400719043,-7.51394827046746,1.05676798980319,1.47440182146794e-27,7.26762151855998e-24
"CEL",79259.8794458134,-7.47170208666431,1.0745957542738,1.40981449517187e-27,7.26762151855998e-24
"ERP27",1977.30877317832,-6.27905304630583,0.775968584555573,1.56393835131482e-27,7.26762151855998e-24
"PNLIP",233188.852288955,-7.71041689559057,1.09712462690922,5.47546509473759e-27,2.12037385793713e-23
"PLA2G1B",15349.0333701064,-7.38341420836298,1.04523435475363,1.09167880144103e-26,3.62359385021176e-23
"CLPS",29869.8614727434,-7.93602050837029,1.08117764562758,2.14894411864978e-26,6.24133957460346e-23
"SYCN",4069.73909497445,-7.85959962942586,1.18592660239773,3.23020397625557e-26,8.33930993203312e-23
"AMY1A",12037.3220628733,-8.10507046291012,1.22996175977606,4.35840541924046e-26,1.01267549916052e-22
"COL17A1",514.072574331002,5.2240397914677,0.632437937860717,6.16245150805172e-26,1.30167782535983e-22
"CTRB2",28417.010326664,-7.68947962593175,1.0381620491837,7.07347253708035e-26,1.36960111999218e-22
"SERPINI2",1589.03493128823,-7.39650733970165,0.969672053966472,3.54015891664756e-25,6.32735326371584e-22
"PNLIPRP1",8463.60539958058,-7.43004720300992,1.08700279480487,4.52653640443107e-25,7.51243381121114e-22
"CPA2",27377.1404010311,-7.41562720904596,1.06492362272376,4.940919940064e-25,7.65348498715913e-22
"PRSS1",195514.905335807,-7.48593405703952,1.11223672702589,8.20211450894558e-25,1.19110081634594e-21
"CELA2A",30073.1211506068,-7.39135128460867,1.15745280534218,2.3932853562623e-24,3.27105795604438e-21
"CUZD1",3915.13100628903,-7.06058124436524,1.00151872416732,6.57408504212252e-24,8.48604810853983e-21
"CTRC",24688.7653614935,-7.18604609254795,1.12247187564815,1.11630988507177e-23,1.36512948313908e-20
"CPB1",131467.838643238,-7.44364820253473,1.12988038880647,1.56403059596529e-23,1.81701254486267e-20
"CLPSL1",159.428584890888,-6.58003933934055,0.827356678681071,1.81849237917754e-23,2.01203192524715e-20
"CELA2B",7334.61565840771,-6.98221026162477,1.14363175608109,3.57834693354332e-23,3.77922231822177e-20
"GP2",71568.2865251412,-6.79523758389245,1.18706809817875,4.86414545348241e-23,4.91384433094191e-20
"LOC100506281",3294.55712325715,-6.7327029894174,1.03099625351653,5.33201894071951e-23,5.16206083698408e-20
"ONECUT1",211.187894692222,-5.22205082269653,0.689330914386467,6.2941397967773e-23,5.84977352712482e-20
