"gene","module"
"PNLIP","blue"
"PRSS1","blue"
"AMY2A","blue"
"CPB1","blue"
"CPA1","blue"
"CELA3A","blue"
"CEL","blue"
"CTRB1","blue"
"CLPS","blue"
"CELA3B","blue"
"CELA2A","blue"
"CTRB2","blue"
"PRSS2","blue"
"AMY1A","blue"
"CTRC","blue"
"GP2","blue"
"PLA2G1B","blue"
"CPA2","blue"
"CELP","blue"
"PNLIPRP2","blue"
"AMY2B","blue"
"PNLIPRP1","blue"
"XIST","green"
"CELA2B","blue"
"SYCN","blue"
"CUZD1","blue"
"REG1A","blue"
"ALB","blue"
"FAM24B-CUZD1","blue"
"AMY1C","blue"
"LOC100506281","blue"
"KLK1","blue"
"AMY1B","blue"
"CTRL","blue"
"RBPJL","blue"
"TSIX","green"
"PDIA2","blue"
"SERPINI2","blue"
"PRSS3","blue"
"INS","pink"
"ERP27","blue"
"DMBT1","yellow"
"REG3A","blue"
"REG1B","blue"
"TFF2","yellow"
"MUC5AC","yellow"
"CEACAM5","brown"
"S100P","brown"
"AQP8","blue"
"RNA18SN1","cyan"
"GCG","pink"
"PGC","grey"
"POSTN","turquoise"
"MT-RNR1","cyan"
"RNA18SN4","cyan"
"CLCA1","salmon"
"RNA18SN2","cyan"
"USP9Y","grey"
"RNA18SN5","cyan"
"GATM","blue"
"RNA18SN3","cyan"
"UTY","grey"
"PPY","grey"
"MUC2","salmon"
"TFF1","yellow"
"FGL1","blue"
"AQP12B","blue"
"RPS4Y1","grey"
"MUC16","turquoise"
"MUC6","blue"
"EGF","blue"
"SERPINB5","brown"
"MUCL3","yellow"
"RNA5-8SN4","cyan"
"CTSE","yellow"
"SPINK4","salmon"
"REG4","yellow"
"CEACAM6","brown"
"SI","magenta"
"KDM5D","grey"
"OLFM4","turquoise"
"MUC17","yellow"
"KRT17","greenyellow"
"TMPRSS4","brown"
"PKHD1","blue"
"DUOX2","brown"
"CDH17","yellow"
"DDX3Y","grey"
"SPINK1","blue"
"SLC4A4","blue"
"COL17A1","brown"
"COL11A1","turquoise"
"112268284","cyan"
"SLC6A14","brown"
"RNA5-8SN3","cyan"
"CLDN18","yellow"
"MMP11","turquoise"
"IAPP","blue"
"REG3G","blue"
"GALNT5","brown"
"AGR2","yellow"
"LOC105372815","yellow"
"DEFA5","salmon"
"TXLNGY","grey"
"MT-TA","grey"
"ANPEP","blue"
"CFTR","blue"
"PIGR","yellow"
"VSIG1","yellow"
"AQP12A","blue"
"TTR","pink"
"INHBA","turquoise"
"RNA28SN3","cyan"
"AKR1B10","yellow"
"MT1G","blue"
"GKN1","grey"
"MMP1","brown"
"DEFA6","salmon"
"FN1","turquoise"
"DSG3","greenyellow"
"SLCO5A1","cyan"
"CXCL5","brown"
"GSTA2","blue"
"SLC16A12","blue"
"LYZ","yellow"
"LAMC2","brown"
"COL1A1","turquoise"
"FXYD3","brown"
"TFF3","yellow"
"MT-RNR2","cyan"
"IGHG1","purple"
"KCNJ16","blue"
"TCN1","brown"
"FER1L6","yellow"
"IGKC","purple"
"INS-IGF2","pink"
"MUC5B","yellow"
"ANXA10","yellow"
"MUC13","yellow"
"ANKRD62","blue"
"SLC39A5","blue"
"CDHR2","yellow"
"APOB","magenta"
"APOA4","magenta"
"TSPAN1","brown"
"SLC1A2","blue"
"MATN4","blue"
"ONECUT1","blue"
"IGHG2","purple"
"LAMB3","brown"
"REG1CP","blue"
"PLIN4","green"
"F11","blue"
"ELAPOR1","blue"
"PDK4","blue"
"TMPRSS15","magenta"
"TMED11P","blue"
"AOC1","yellow"
"PM20D1","blue"
"PCK1","magenta"
"CAPN8","yellow"
"RNA45SN1","cyan"
"AOX1","blue"
"GCNT3","yellow"
"ADIPOQ","green"
"TRHDE","blue"
"SNORA68","red"
"COL3A1","turquoise"
"KRT6A","greenyellow"
"DPEP1","blue"
"GNMT","blue"
"TSPAN8","yellow"
"GABRP","turquoise"
"TM4SF20","yellow"
"RNA45SN5","cyan"
"RNA28SN2","cyan"
"TMC5","yellow"
"CLPSL1","blue"
"LGALS4","yellow"
"NR5A2","blue"
"CHGB","pink"
"COL8A1","turquoise"
"GREM1","turquoise"
"SFN","brown"
"SULT1B1","yellow"
"PAIP2B","blue"
"RNA28SN5","cyan"
"LOC105375587","blue"
"JCHAIN","purple"
"ZBTB16","blue"
"SULF1","turquoise"
"MMP7","turquoise"
"THBS2","turquoise"
"IGHA1","purple"
"ZFY","grey"
"RNA5-8SN1","cyan"
"WNK2","blue"
"PLA2G2A","salmon"
"RNA45SN3","cyan"
"SDR16C5","brown"
"SLPI","brown"
"PAK3","blue"
"C6","blue"
"MSLN","brown"
"LCN2","brown"
"PLAC8","yellow"
"LOC105373359","blue"
"RNA28SN4","cyan"
"RNA28SN1","cyan"
"FABP4","green"
"SLC30A2","blue"
"PSCA","brown"
"KIF1A","blue"
"LOC105376767","blue"
"C7","tan"
"IGHA2","purple"
"COL1A2","turquoise"
"VCAN","turquoise"
"CHGA","pink"
"EPS8L3","yellow"
"S100A6","brown"
"IGHG3","purple"
"PLIN1","green"
"LINC00261","blue"
"SPX","blue"
"IGHG4","purple"
"SFRP2","turquoise"
"CTHRC1","turquoise"
"SNORA54","red"
"COMP","turquoise"
"RNA45SN4","cyan"
"BCAS1","yellow"
"MYO1A","yellow"
"PTF1A","blue"
"SLC2A1","brown"
"BHLHA15","blue"
"DHRS9","brown"
"MATN3","turquoise"
"GPT2","blue"
"GPRC5A","brown"
"HOMER2","blue"
"SCEL","brown"
"CDH3","greenyellow"
"ANXA8","greenyellow"
"LOC105379749","blue"
"SAA1","green"
"CYP2C18","yellow"
"GJB2","turquoise"
"KRT19","brown"
"IGLC2","purple"
"CXCL8","turquoise"
"SLC30A8","pink"
"RNA45SN2","cyan"
"AMBP","blue"
"ADGRF1","brown"
"SPP1","turquoise"
"MIR217HG","blue"
"MUC3A","yellow"
"H1-5","brown"
"FCGBP","yellow"
"SNORD3A","red"
"ALDOB","magenta"
"MEP1A","magenta"
"KRT20","yellow"
"MYH11","green"
"UGT2A3","blue"
"NQO1","brown"
"UGT1A10","brown"
"ERN2","yellow"
"CSMD3","blue"
"HMGCS2","yellow"
"NTRK2","tan"
"DKK1","brown"
"ADH1B","tan"
"TPST2","blue"
"C19orf33","brown"
"RNA5-8SN2","cyan"
"AHNAK2","turquoise"
"DSC3","greenyellow"
"ANXA8L1","greenyellow"
"ST6GALNAC1","yellow"
"SLC5A1","yellow"
"BRSK2","blue"
"KLK7","brown"
"GSTA1","blue"
"FAM3D","yellow"
"MT-TN","grey"
"PADI1","turquoise"
"S100A2","greenyellow"
"ITGB6","brown"
"GKN2","grey"
"CBS","blue"
"SNORA80B","red"
"MISP","yellow"
"MMP12","brown"
"SLC44A4","yellow"
"FXYD2","blue"
"LINC02532","blue"
"112268313","blue"
"C2CD4B","blue"
"TNC","turquoise"
"DCDC2","blue"
"FABP2","yellow"
"CRISP3","grey"
"IGLC3","purple"
"PEX5L","blue"
"SLC26A3","magenta"
"P2RX1","blue"
"SCTR","blue"
"IGKV3-20","purple"
"TM4SF4","magenta"
"TRIM31","yellow"
"KRT16","brown"
"HPN","blue"
"CTNND2","blue"
"C6orf58","salmon"
"MYO7B","yellow"
"NPHS1","blue"
"TEX11","blue"
"MTTP","magenta"
"MME","brown"
"GPHA2","blue"
"CYP2C19","yellow"
"LOC389602","yellow"
"LY6D","greenyellow"
"MYBPC1","grey"
"NRCAM","blue"
"SERPINA5","blue"
"SFRP4","turquoise"
"MUC4","brown"
"SNORA71D","red"
"CD55","brown"
"IGFBP2","blue"
"CORO2A","yellow"
"ANLN","brown"
"LOC102724560","blue"
"DES","green"
"SFRP5","blue"
"TRIM29","greenyellow"
"FABP1","yellow"
"TGM2","turquoise"
"DPP10","blue"
"SST","pink"
"ADIPOQ-AS1","green"
"TOP2A","brown"
"KRT5","greenyellow"
"UGT2B15","grey"
"LCT","magenta"
"TNS4","brown"
"WTAPP1","brown"
"TRPV6","blue"
"TMEM45B","yellow"
"CYP3A4","magenta"
"LOC105373791","turquoise"
"PCDH7","turquoise"
"KIRREL2","blue"
"IGHM","purple"
"COL5A1","turquoise"
"LOC105377862","blue"
"KLF15","blue"
"ACADL","blue"
"LOC101928535","blue"
"MMP13","brown"
"BTG2","blue"
"EGLN3","brown"
"FAM177B","yellow"
"GPX2","yellow"
"FNDC1","turquoise"
"IGFBP3","turquoise"
"COL5A2","turquoise"
"OLR1","turquoise"
"EIF1AY","grey"
"IGHGP","purple"
"SULT1C2","yellow"
"S100A14","yellow"
"XDH","brown"
"RNY3","red"
"VSIG2","yellow"
"SLC17A4","blue"
"TTTY15","grey"
"GPD1","green"
"ACTA2","turquoise"
"HPGD","yellow"
"LOC100507412","magenta"
"CRP","grey"
"SLC43A1","blue"
"PI15","turquoise"
"GUCA1C","blue"
"LOC105370733","blue"
"IGHV3-7","purple"
"LOC107986855","blue"
"IGKV1-5","purple"
"LOC107984701","grey"
"RNASE1","blue"
"FAM3B","blue"
"IGFN1","blue"
"RNA5-8SN5","cyan"
"H2AC14","brown"
"LEP","green"
"CIDEC","green"
"B3GNT3","brown"
"LINC01559","brown"
"CST1","brown"
"DPT","tan"
"TMED6","blue"
"CCKBR","blue"
"ADAMTS12","turquoise"
"SNORA80A","red"
"IGKV3-11","purple"
"ERO1B","blue"
"FOSB","black"
"SNORA64","red"
"ADGRG7","yellow"
"LOC105374197","blue"
"ADGRV1","blue"
"FLRT2","blue"
"107985902","blue"
"IL22RA1","blue"
"AGR3","yellow"
"AZGP1","blue"
"BCAT1","blue"
"CP","brown"
"RNY1","red"
"SNORA3A","red"
"COXFA4L3","brown"
"CYP2C9","yellow"
"BNIP3","blue"
"CA9","brown"
