"gene","module","kWithin","MM","hub_score","rank"
"AQP12A","blue",228.373216557227,0.982595269087661,224.398442175463,1
"AQP12B","blue",225.079691988831,0.98413330577054,221.508421338783,2
"ANKRD62","blue",218.167661478446,0.975600925361089,212.844572422236,3
"RBPJL","blue",213.888079041273,0.971606926692451,207.815139133443,4
"LOC105379749","blue",211.702938508603,0.972342193985787,205.847699702694,5
"MATN4","blue",211.625684357594,0.971400135882212,205.573218541133,6
"LOC102724560","blue",210.573566527251,0.975236383516596,205.359003484228,7
"PAIP2B","blue",211.358374059548,0.970857578087807,205.19887914803,8
"CBS","blue",208.929373905019,0.974266900123808,203.552973459251,9
"LOC107986239","blue",206.683034370735,0.970417987555879,200.568934275992,10
"JPT1","brown",103.404187588218,0.972674731458434,100.578640394047,1
"H1-5","brown",101.42520905683,0.938200688902957,95.1572010092443,2
"SAMD9","brown",91.6278458032368,0.942253535874573,86.33666169267,3
"EFNB1","brown",90.2858659080465,0.944576466415163,85.2819041866559,4
"TOP2A","brown",91.8403878887859,0.923365239624574,84.8022217701426,5
"CDK1","brown",90.3321481021449,0.923014833304564,83.3779126225444,6
"CENPK","brown",90.3638130670479,0.917138493631645,82.8761313951239,7
"BUB1","brown",90.0565515285457,0.912452934120217,82.17236467897,8
"CDCA2","brown",89.4111834035918,0.918223170321813,82.0994202870711,9
"BIRC5","brown",88.8502792001793,0.913317067608392,81.1484764552947,10
"IGLC2","purple",38.6659893988058,0.976054201551628,37.7401014098551,1
"IGLJ2","purple",37.6931151271506,0.975493521763026,36.7693896216033,2
"IGKV3-11","purple",37.0621689739048,0.972060186076316,36.0266588691657,3
"IGLC3","purple",36.2447399202092,0.967214409817548,35.0564347309156,4
"IGKV3-20","purple",35.6848097021726,0.969182328841927,34.5850869714327,5
"IGKC","purple",35.4591671794526,0.963849862795701,34.1773134207652,6
"IGKJ1","purple",35.2865419508497,0.967673648587741,34.1458567956231,7
"IGHJ5","purple",34.3788636224864,0.964733958736586,33.1664571993865,8
"IGHV3-30","purple",34.1879919921182,0.959839923020778,32.8149996019498,9
"IGLV2-14","purple",33.5989732602586,0.964519046884062,32.4068496652677,10
"GPR35","yellow",37.1977983493812,0.928539719668958,34.5396332516368,1
"MUC13","yellow",35.9599141584638,0.956276978925925,34.3876380738913,2
"TRIM15","yellow",35.1527084962728,0.931450164081517,32.7429960967631,3
"FUT2","yellow",33.7996186905578,0.951678239181418,32.1663616004334,4
"CAPN5","yellow",33.1260564749475,0.922800127373328,30.5687291344577,5
"ANKRD40CL","yellow",32.4802574573606,0.915152545407945,29.724390287609,6
"VILL","yellow",32.6779730169619,0.904485224021811,29.5567437448255,7
"MISP","yellow",32.1907936880429,0.905795479582053,29.1582754067877,8
"EPS8L3","yellow",30.8659835897001,0.924662381122364,28.5406138817359,9
"PLS1","yellow",30.7708106555869,0.91504541495043,28.1566892047026,10
"ANXA8","greenyellow",10.2358377729056,0.922728817782548,9.44490248720711,1
"ANXA8L1","greenyellow",9.81901153491509,0.917995601268495,9.01380939785667,2
"IL20RB","greenyellow",9.51586424816868,0.93140059110073,8.86308158557861,3
"GSDMC","greenyellow",9.65020147383948,0.905435644136377,8.73763638751166,4
"IGFL2-AS1","greenyellow",9.1819442195953,0.932662219043243,8.56365247097903,5
"FAM83A","greenyellow",9.074242405016,0.911381399071306,8.27009573859566,6
"GPR87","greenyellow",8.985680158411,0.889516666077065,7.99291225694458,7
"KRT6A","greenyellow",8.44776668040379,0.904589750945099,7.64176315746877,8
"ITGA3","greenyellow",8.40994722827127,0.901403049605233,7.5807520785828,9
"ABCA12","greenyellow",8.37869079515762,0.894804622007497,7.4972912498787,10
"SETBP1","tan",10.1024448037252,0.926284412802603,9.35773715288927,1
"GALNT16","tan",9.99919263053384,0.934421345817277,9.34345903490964,2
"107984428","tan",9.54293398911897,0.928781828671415,8.86330368130451,3
"SVEP1","tan",9.44735733106416,0.93088737384058,8.79442565564787,4
"CDO1","tan",8.93650102668325,0.931804675643198,8.32707344055369,5
"ABCA8","tan",8.87516123655223,0.914734904065219,8.11841976228096,6
"NTRK2","tan",8.7943155088602,0.905032431024063,7.95914074417636,7
"DLG2","tan",8.48613387201425,0.912352980185146,7.74234952838231,8
"SYNE1","tan",8.26396560802962,0.911759225166614,7.53474687958063,9
"RNF150","tan",8.09282236512709,0.922310888493308,7.46409818599887,10
