"module","cor_condition","pvalue","padj","significant"
"blue",-0.742570669514269,2.62126834478753e-06,3.93190251718129e-05,TRUE
"brown",0.721468570347291,6.83279673446161e-06,5.12459755084621e-05,TRUE
"purple",0.6291060681462,0.00019615761907041,0.000980788095352049,TRUE
"yellow",0.559188075421057,0.00131648359446601,0.004524150287775,TRUE
"greenyellow",0.55354280124038,0.001508050095925,0.004524150287775,TRUE
"tan",-0.509708639052897,0.00401239676719218,0.0100309919179805,TRUE
"cyan",-0.479848820905243,0.00728762421091811,0.0151415269850306,FALSE
"turquoise",0.474438413588258,0.00807548105868297,0.0151415269850306,FALSE
"pink",-0.36349839741091,0.0483254720951546,0.0805424534919243,FALSE
"magenta",0.178975334883944,0.343992888379788,0.485321433935749,FALSE
"salmon",0.174674034724514,0.355902384886216,0.485321433935749,FALSE
"green",-0.149045737905634,0.431823844239534,0.539779805299417,FALSE
"black",0.125106150066945,0.510079739080753,0.588553545093177,FALSE
"red",-0.0399606695674502,0.833935533288245,0.893502357094548,FALSE
"grey",0.010014684965255,0.958111882532565,0.958111882532565,FALSE
